PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[7] UNC13A_CE_1.raw.PG.Quantity,[8] UNC13A_CE_2.raw.PG.Quantity,[9] UNC13A_CE_3.raw.PG.Quantity,[10] UNC13A_CE_4.raw.PG.Quantity,[11] UNC13A_CE_5.raw.PG.Quantity,[12] UNC13A_CE_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,NaN,Filtered,Filtered,NaN,0.5816116333007812,NaN,NaN,NaN,NaN,NaN
A0A1B0GWG4,SERTM2,233.2950897216797,305.0821838378906,548.6148071289062,NaN,997.9993896484375,Filtered,3634.021240234375,6914.19775390625,4467.97314453125,6007.4384765625,7614.19140625,5537.087890625,5042.58642578125,7031.34375,6083.0771484375,6732.45654296875,8163.05908203125,5350.74072265625
A0AV96,RBM47,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,5031.36376953125,5221.4130859375,6915.97265625,4676.98486328125,4991.33056640625,5321.30517578125,3895.759765625,4538.837890625,4199.74267578125,4873.99658203125,4842.06689453125,6043.09033203125
A0FGR8,ESYT2,1431.9691162109375,1138.2679443359375,1229.7266845703125,1403.050537109375,3472.74560546875,2254.447509765625,19558.021484375,19394.859375,24093.400390625,19254.24609375,17984.908203125,16538.48828125,17742.30078125,19931.775390625,19786.869140625,18742.478515625,20073.130859375,18524.294921875
A0JLT2,MED19,NaN,NaN,NaN,NaN,NaN,Filtered,5375.69921875,4768.46484375,6172.68212890625,4654.123046875,5151.92138671875,4175.53271484375,2996.590087890625,4570.68212890625,4676.3603515625,3460.10595703125,4175.4921875,5133.744140625
A0PJW6,TMEM223,413.2609558105469,1339.695556640625,585.7437744140625,364.1673278808594,806.1082763671875,630.5022583007812,5284.25,5366.310546875,5078.97705078125,5177.416015625,3947.89892578125,2946.481689453125,2650.56005859375,3691.3662109375,3247.81005859375,3263.77783203125,4337.06884765625,3317.989501953125
A1L020,MEX3A,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,22265.51953125,18097.314453125,15977.884765625,24618.916015625,24973.779296875,19840.71484375,14922.421875,26186.578125,10044.7431640625,27599.64453125,22868.4296875,26753.142578125
A1L0T0,ILVBL,Filtered,Filtered,Filtered,Filtered,457.8240661621094,Filtered,1214.6434326171875,1345.2418212890625,1938.13623046875,1942.0367431640625,1476.250244140625,713.09326171875,1099.6109619140625,682.7177124023438,820.837158203125,682.5504150390625,987.2430419921875,1764.162841796875
A1X283,SH3PXD2B,Filtered,Filtered,Filtered,Filtered,1031.88427734375,Filtered,7171.52001953125,5120.1611328125,7793.61328125,3121.2841796875,3387.13720703125,2921.5068359375,3517.51220703125,2248.927734375,3983.743896484375,2609.42138671875,4131.57177734375,4580.150390625
A2A3N6,PIPSL,Filtered,Filtered,NaN,Filtered,Filtered,Filtered,21922.044921875,29841.26171875,29727.126953125,25329.021484375,23594.240234375,19961.8984375,18998.587890625,18401.767578125,18440.154296875,22179.544921875,22358.009765625,23130.05078125
A2RRP1,NBAS,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1291.178955078125,1156.7880859375,1593.787353515625,1757.053955078125,2145.22705078125,1226.806396484375,1250.8070068359375,1303.162841796875,1890.751220703125,1468.7330322265625,1201.236083984375,1883.5853271484375
A2VDJ0,TMEM131L,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1813.927490234375,2262.79296875,3155.605224609375,2879.7060546875,16333.5830078125,8805.2939453125,1131.7349853515625,2338.3974609375,2029.4354248046875,1774.0025634765625,1523.6634521484375,1701.1129150390625
A3KMH1,VWA8,Filtered,Filtered,Filtered,Filtered,99450.3671875,68440.9296875,9087.904296875,6097.88134765625,7776.63427734375,4426.1201171875,4605.13232421875,7557.9111328125,4921.2236328125,5453.96728515625,4932.50634765625,3611.21044921875,5559.27294921875,7683.12109375
A4D1E9,GTPBP10,1035.8970947265625,735.4258422851562,889.2044677734375,521.8277587890625,1547.802978515625,682.3855590820312,19926.076171875,19303.71875,24153.125,20719.138671875,18485.3828125,16094.65234375,14495.4609375,20275.8125,18094.4609375,18231.232421875,18875.984375,20734.080078125
A5YKK6,CNOT1,427.98248291015625,521.7811889648438,479.8572082519531,399.1102600097656,1174.812255859375,953.18359375,7314.9091796875,7401.3125,10055.4951171875,7267.89990234375,6801.35107421875,5732.45654296875,5956.9404296875,7239.0185546875,7895.24365234375,6603.29296875,6965.29638671875,7654.8984375
A6H8Y1,BDP1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3095.235595703125,3274.43701171875,4019.861083984375,3183.01708984375,2260.687255859375,1687.4949951171875,2102.71484375,2085.60498046875,1667.9931640625,1620.57666015625,1894.2265625,1600.112060546875
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,1790.350830078125,1217.301513671875,1721.0382080078125,1156.1339111328125,6498.1572265625,1261.2508544921875,14049.5380859375,15191.474609375,10858.83203125,9110.869140625,13826.8271484375,5985.74365234375,9744.0888671875,8134.71337890625,9478.8095703125,9977.57421875,10621.01171875,17613.501953125
A6ND36,FAM83G,508.3159484863281,935.4847412109375,Filtered,Filtered,1140.7010498046875,881.505615234375,6434.74169921875,6799.654296875,8679.4990234375,6917.00390625,6274.01611328125,5254.12646484375,5363.232421875,4088.8955078125,6085.1728515625,5499.80029296875,5952.5703125,6667.03759765625
A6NHL2,TUBAL3,Filtered,NaN,Filtered,NaN,1057.1741943359375,NaN,2041.4344482421875,1315.2794189453125,2933.552978515625,1247.2027587890625,1221.4742431640625,1537.855224609375,1106.480224609375,1997.7666015625,1342.5732421875,918.5704345703125,984.3190307617188,2219.67578125
A6NHR9,SMCHD1,1683.8917236328125,1199.2962646484375,1340.6143798828125,1491.8887939453125,1997.4305419921875,1078.207763671875,11731.2607421875,11421.76171875,13688.0302734375,12092.8994140625,10834.2880859375,9027.5126953125,9519.25390625,10578.5673828125,12080.873046875,10830.591796875,11470.654296875,11539.650390625
A6NJ78,METTL15,Filtered,NaN,Filtered,Filtered,Filtered,Filtered,7098.76416015625,5714.2431640625,8280.46875,7554.8056640625,8044.65185546875,5558.6337890625,5861.8388671875,7079.654296875,6561.66357421875,7021.349609375,6582.013671875,8906.3203125
A8CG34,POM121C,1139.715576171875,1076.7933349609375,1529.69287109375,1137.0135498046875,1408.293212890625,2436.486572265625,7333.80859375,7364.6845703125,8914.67578125,6793.77294921875,7412.34619140625,7845.26025390625,6967.0810546875,7182.13330078125,7349.9228515625,7656.05224609375,7527.17138671875,8864.0498046875
A8MWD9;P62308,SNRPGP15;SNRPG,1077.8076171875,1046.900634765625,1362.8277587890625,1563.743896484375,5466.37451171875,2139.53466796875,111318.859375,126564.0234375,150418.78125,106525.03125,116257.484375,108669.546875,67845.0625,112881.78125,120263.234375,95481.3203125,109921.3515625,117429.0390625
B0YJ81,HACD1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1323.401611328125,2003.5184326171875,1296.7747802734375,2438.720703125,2335.59912109375,1082.1287841796875,2420.9013671875,1221.0711669921875,1902.14111328125,2400.341796875,2795.696044921875,2485.950927734375
