PG.ProteinGroups,PG.Genes,[1] ctrl_1.raw.PG.Quantity,[2] ctrl_2.raw.PG.Quantity,[3] ctrl_3.raw.PG.Quantity,[4] ctrl_4.raw.PG.Quantity,[5] Halo_1.raw.PG.Quantity,[6] Halo_2.raw.PG.Quantity,[7] Halo_3.raw.PG.Quantity,[8] Halo_4.raw.PG.Quantity
A0A024RBG1;Q9NZJ9,NUDT4B;NUDT4,9897.435546875,23310.380859375,11398.83203125,7274.7822265625,13984.1435546875,11878.01953125,7211.0439453125,NaN
A0A0B4J1U7,IGHV6-1,NaN,9418.306640625,16135.4892578125,NaN,7080.5390625,5465.48974609375,11297.896484375,3854.94775390625
A0A0B4J1V1,IGHV3-21,32983504,23268504,17128508,20278536,16808014,18282416,17323000,20534320
A0A0B4J1Y9,IGHV3-72,495728.9375,223283.03125,214654.078125,197280.734375,302424.4375,282336.25,70606.984375,225341.53125
A0A0B4J2D5;P0DPI2,GATD3B;GATD3A,24127.080078125,22431.61328125,26319.755859375,22117.66796875,16437.390625,16183.7685546875,10376.5615234375,10653.89453125
A0FGR8,ESYT2,4949.40966796875,4175.3896484375,3555.490478515625,3653.966796875,3368.8544921875,3713.03466796875,2958.227783203125,2822.546142578125
A0JNW5,UHRF1BP1L,4416.70458984375,6158.66650390625,4127.6005859375,3256.9755859375,2779.308837890625,5687.71533203125,2657.539794921875,1821.4644775390625
A0MZ66,SHTN1,15979.748046875,18355.81640625,17226.1015625,11055.5146484375,11342.0869140625,11867.65234375,12199.5439453125,9591.3212890625
A1L020;Q5U5Q3;Q6ZN04;Q86XN8,MEX3A;MEX3C;MEX3B;MEX3D,10627.6298828125,12586.7919921875,11681.31640625,10247.2529296875,5953.39208984375,7567.2890625,4207.39404296875,6302.373046875
A1L0T0,ILVBL,15652.3408203125,20633.93359375,21526.5703125,19170.009765625,19756.484375,19575.173828125,24107.52734375,19675.62109375
A1X283,SH3PXD2B,28650.705078125,38254.94921875,35354.57421875,29001.142578125,28721.740234375,31324.111328125,30700.384765625,27435.001953125
A1Z1Q3,MACROD2,7281.5791015625,2812.02197265625,3160.2265625,NaN,NaN,14849.857421875,NaN,3290.6298828125
A2A3N6;Q99755,PIPSL;PIP5K1A,3013.117431640625,7855.83935546875,2975.6708984375,NaN,NaN,4791.07958984375,2444.998779296875,1468.695556640625
A2RRP1,NBAS,3188.363525390625,5558.17724609375,4002.5654296875,3249.185546875,3499.6552734375,1521.645751953125,1990.6561279296875,4676.8662109375
A3KMH1,VWA8,4181.99853515625,1016.0502319335938,NaN,NaN,NaN,NaN,NaN,NaN
A4D161,FAM221A,NaN,959.3505249023438,1755.3367919921875,NaN,NaN,NaN,NaN,NaN
A4D1P6,WDR91,4508.4736328125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A5PKW4,PSD,3817.23291015625,7954.05712890625,7523.546875,6097.75048828125,8682.1826171875,8425.9892578125,7002.833984375,4886.45703125
A5YKK6,CNOT1,10811.6083984375,10665.119140625,9000.8876953125,7021.13330078125,6224.71337890625,5954.923828125,6939.0390625,6288.28759765625
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,70548.265625,156274.265625,105398.734375,74616.5234375,50494.328125,62783.1328125,94631.0859375,101635.40625
A6NDG6,PGP,257673.453125,193806.4375,246554.484375,156158.203125,135196.5625,111958.5390625,135907.3125,129421.0078125
A6NE02,BTBD17,2176.944091796875,1690.388671875,3004.19189453125,NaN,NaN,NaN,NaN,NaN
A6NFI3,ZNF316,1673.07470703125,1142.1683349609375,2013.0501708984375,2199.935302734375,2752.897216796875,3320.51708984375,NaN,585.4602661132812
A6NFN3;O43251;Q9NWB1,RBFOX3;RBFOX2;RBFOX1,13821.8984375,13398.400390625,16911.70703125,9705.404296875,9332.599609375,11057.412109375,20684.369140625,22825.458984375
A6NHQ2,FBLL1,13403.7119140625,16573.91796875,18029.501953125,16108.833984375,15579.890625,19322.421875,18216.7734375,19213.783203125
A6NHR9,SMCHD1,17727.66796875,34079.90234375,17223.931640625,5822.7822265625,9409.6455078125,15730.9619140625,20641.96875,18938.6171875
A6NHX0,CASTOR2,26065.23046875,30957.021484375,31676.53125,21176.681640625,14837.8583984375,16084.625,23261.3125,21914.66796875
A6NI79,CCDC69,5738.64111328125,NaN,8984.8173828125,8251.1572265625,NaN,4671.134765625,NaN,NaN
A6NJ46;P78426;Q9C056,NKX6-3;NKX6-1;NKX6-2,NaN,NaN,NaN,NaN,1057.5743408203125,5190.724609375,2481.652587890625,4707.37255859375
A6NJ78,METTL15,12395.9189453125,4413.80224609375,1790.224853515625,9535.6572265625,790.8045654296875,1679.212158203125,NaN,NaN
A6NJZ7;A6NNM3;Q9UFD9,RIMBP3C;RIMBP3B;RIMBP3,26043.4921875,22871.76171875,17625.4921875,21863.455078125,23184.939453125,21820.34375,22107.09375,23803.7421875
A6NNA2,SRRM3,8450.4921875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A7E2V4,ZSWIM8,30872.69921875,7336.00634765625,NaN,8077.6650390625,4972.08447265625,5180.8935546875,NaN,6247.54833984375
A7KAX9,ARHGAP32,2781.292724609375,4909.79150390625,4930.65087890625,NaN,NaN,3893.4814453125,NaN,NaN
A7MBM2,DISP2,4050.8857421875,2758.987060546875,5461.03759765625,1964.38916015625,804.51708984375,NaN,904.5191650390625,NaN
A7MD48,SRRM4,6828.4765625,5017.01171875,4556.759765625,5382.95703125,4148.2998046875,2011.6358642578125,NaN,1432.31640625
A8MQ14;Q3KNS6;Q8N972;Q8NA42;Q9Y2G7,ZNF850;ZNF829;ZNF709;ZNF383;ZFP30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A8MVW0,FAM171A2,12929.466796875,12921.07421875,11900.3564453125,13257.244140625,10024.18359375,10278.9443359375,9166.2392578125,6233.5029296875
A8MWD9;P62308,SNRPGP15;SNRPG,33188.98046875,24514.18359375,27616.970703125,34656.53515625,65505.08984375,65438.05859375,83215.640625,59623.40625
ADN27525,HALO,NaN,NaN,18016.78125,61222.23046875,1209036.75,774683.875,1481395,785904.625
B2RTY4,MYO9A,4960.80224609375,1677.1689453125,2544.124267578125,2884.69921875,795.0074462890625,2413.978759765625,860.7518920898438,2199.9541015625
B7ZAQ6;P0CG08,GPR89A;GPR89B,19851.599609375,21449.31640625,15423.876953125,11191.9208984375,13870.01171875,11867.7333984375,13774.083984375,16348.373046875
C9J069,AJM1,54118.18359375,9706.908203125,6852.4091796875,6352.73779296875,4963.23828125,NaN,3936.47509765625,NaN
E9PAV3;Q13765,NACA,60750.04296875,73406.9140625,78239.8515625,63997.765625,62590.8984375,71107.5625,81644.2265625,75204.25
E9PRG8,C11orf98,35357.7578125,20333.177734375,20766.630859375,21451.255859375,22206.419921875,21009.51953125,20803.654296875,13414.5185546875
F8WCM5;P01308,INS-IGF2;INS,36126.97265625,43808.46875,27344.76953125,21435.5078125,22365.10546875,19078.970703125,12389.0166015625,15737.6025390625
L0R8F8,MIEF1,5041.63818359375,10743.2294921875,9171.6298828125,9345.0830078125,9507.11328125,13531.853515625,8246.7138671875,6114.7890625
O00116,AGPS,1940.787353515625,2462.640380859375,2102.19091796875,2035.523193359375,NaN,2386.2060546875,3511.649169921875,3271.925537109375
O00139,KIF2A,132171.453125,117455.375,136877.203125,125036.125,101189.4296875,97687.6015625,86583.9375,87198.0546875
O00142,TK2,6257.861328125,7524.34033203125,9780.814453125,NaN,5817.849609375,5453.31103515625,5157.82861328125,4312.4326171875
O00148,DDX39A,78799.15625,64931.71484375,77462.7421875,64006.1875,58138.69140625,77565.53125,74666.5625,77679.9140625
O00154,ACOT7,2054772.5,1807576.125,1743420.75,1854465.75,1494026.625,1592998,1896360.375,1766876.125
O00165,HAX1,27043.734375,26480.833984375,24105.017578125,22135.826171875,16519.724609375,17152.0703125,18841.443359375,21958.890625
O00170,AIP,15089.1669921875,16542.14453125,15393.228515625,13242.583984375,6072.39208984375,6120.38623046875,6660.322265625,7551.99560546875
O00178,GTPBP1,26246.06640625,28088.322265625,24956.16796875,27387.943359375,18462.201171875,20818.0390625,21311.943359375,18157.892578125
O00186,STXBP3,6953.88232421875,3755.208984375,5046.900390625,6694.73583984375,4144.45703125,NaN,NaN,2766.761962890625
O00189,AP4M1,5298.59765625,NaN,NaN,NaN,NaN,NaN,NaN,1002.377685546875
O00192,ARVCF,19323.330078125,13727.6572265625,18115.1875,12076.087890625,10452.404296875,11956.1630859375,12598.7392578125,10631.3134765625
O00193,SMAP,29795.859375,29504.630859375,20074.35546875,19201.82421875,11705.56640625,19609.556640625,19098.8125,11894.0166015625
O00203,AP3B1,12519.96484375,16255.5966796875,12665.2138671875,10984.099609375,8540.712890625,9511.3876953125,10198.806640625,8551.5771484375
O00217,NDUFS8,106031.0859375,93249.625,94250.484375,106335.2421875,84364.21875,71448.9921875,68630.28125,83373.4921875
O00231,PSMD11,30074.486328125,30053.87109375,28209.697265625,29223.455078125,22788.033203125,23633.203125,22131.22265625,23086.232421875
O00232,PSMD12,33471.2109375,34699.87890625,27917.60546875,32318.75,24784.50390625,24640.947265625,27417.44140625,30694.564453125
O00233,PSMD9,19887.974609375,7581.13671875,12752.1328125,25338.546875,16845.09375,44789.05078125,73044.765625,50998.29296875
O00244,ATOX1,302542.9375,12747,94496.140625,21620.154296875,22313.99609375,28940.2734375,38098.9765625,23107.955078125
O00257,CBX4,8300.59765625,11201.0263671875,8009.759765625,8208.638671875,6676.1142578125,7082.9736328125,4311.3037109375,2344.641357421875
O00258,GET1,16807.41796875,11612.75,11820.916015625,11506.787109375,11255.568359375,12816.259765625,11517.392578125,12279.1474609375
O00264,PGRMC1,49500.36328125,50592.85546875,57306.28515625,64274.77734375,50116.9921875,49633.53125,49782.87109375,34195.953125
O00291,HIP1,26963.291015625,23051,29846.861328125,29142.017578125,17811.162109375,24501.947265625,22515.419921875,22638.560546875
O00299,CLIC1,1786.85791015625,12911.580078125,8524.9580078125,7207.0595703125,NaN,NaN,NaN,NaN
O00303,EIF3F,3645.510986328125,3911.9130859375,2838.015380859375,3121.20751953125,3399.843994140625,1854.4940185546875,2385.047119140625,NaN
O00308,WWP2,5236.345703125,7308.0234375,9474.869140625,3676.648681640625,3293.4931640625,2816.172607421875,3618.7939453125,4360.25927734375
O00329,PIK3CD,18113.33203125,23409.9609375,17895.328125,16445.5625,11404.9521484375,9027.7470703125,14700.501953125,10926.36328125
