STRING_id	Genes	Protein_Group	P_value	treatment_estimate	control_estimate	log2FC	p.adj	Group	ppi_score
9606.ENSP00000230449	EXOC2	Q96KP1	0.00125780665960628	3907.80053716667	1117.9810383	1.80417124149719	0.00161856894399295	UP	203
9606.ENSP00000296755	MAP1B	P46821	1.64657951610587e-07	56170.9837266667	2138.36759433333	4.71456877086283	6.81692540502993e-07	UP	207
9606.ENSP00000262241	RCOR1	Q9UKL0	2.21038245721243e-06	2427.889323	1020.4616901	1.24906756001212	5.06919511384842e-06	UP	208
9606.ENSP00000435096	RPS25	P62851	3.0258222587455e-10	1437953.02083333	169595.171866667	3.08384103165845	7.43618309155996e-09	UP	208
9606.ENSP00000346050	RPS3A	P61247	3.61849196049981e-08	226640.072916667	45082.97266	2.32971641894387	2.08855658231038e-07	UP	209
9606.ENSP00000397563	TENT2	Q6PIY7	1.27208340579644e-05	4012.38920066667	888.294916766667	2.17372770946485	2.30710998425122e-05	UP	212
9606.ENSP00000387170	GIGYF2	Q6Y7W6	1.23055696549715e-07	104488.179701667	33605.1090516667	1.6365443248744	5.46664562060041e-07	UP	214
9606.ENSP00000298048	MELK	Q14680	5.28471039915826e-09	9013.395427	689.85700485	3.70561165027492	4.87333498324711e-08	UP	230
9606.ENSP00000263934	KIF1B	O60333	1.82841201147721e-06	11785.6634136667	897.55384825	3.71328419609324	4.34179218641322e-06	UP	232
9606.ENSP00000300935	RAB8A	P61006	0.00135148882794148	1634.87188716667	303.657877533333	2.42391563710902	0.00173347897922908	UP	233
9606.ENSP00000358865	INA	Q16352	7.21287822025243e-05	9838.42089866667	3381.99886083333	1.54012408516216	0.000111780175456435	UP	233
9606.ENSP00000382177	MYO5A	Q9Y4I1	5.03647203680066e-05	2672.81319166667	979.943491566667	1.44611707246053	8.06600559615215e-05	UP	234
9606.ENSP00000341826	HNRNPA1	P09651	7.82983878872102e-07	558052.583333334	13767.7945971667	5.34092690060208	2.23115135934456e-06	UP	237
9606.ENSP00000253861	EXOC4	Q96A65	0.000297423225742081	10080.1420908333	1293.50895183333	2.96103912841502	0.000418482946184253	UP	238
9606.ENSP00000231487	SKP1	P63208	1.14614652042178e-10	15281.76839	1005.62808225	3.92420884418954	4.26501346364009e-09	UP	241
