Sample	N	Threshold
ctrl_1	3349	0
ctrl_2	3261	0
ctrl_3	3324	0
ctrl_4	3190	0
Halo_1	3060	0
Halo_2	3093	0
Halo_3	3021	0
Halo_4	3010	0
ctrl_1	3332	1
ctrl_2	3252	1
ctrl_3	3309	1
ctrl_4	3184	1
Halo_1	3057	1
Halo_2	3091	1
Halo_3	3018	1
Halo_4	3007	1
ctrl_1	3331	2
ctrl_2	3252	2
ctrl_3	3309	2
ctrl_4	3184	2
Halo_1	3056	2
Halo_2	3090	2
Halo_3	3017	2
Halo_4	3005	2
ctrl_1	3308	3
ctrl_2	3213	3
ctrl_3	3274	3
ctrl_4	3145	3
Halo_1	3013	3
Halo_2	3055	3
Halo_3	2985	3
Halo_4	2957	3
ctrl_1	2237	4
ctrl_2	2151	4
ctrl_3	2171	4
ctrl_4	2040	4
Halo_1	1831	4
Halo_2	1883	4
Halo_3	1862	4
Halo_4	1831	4
ctrl_1	482	5
ctrl_2	438	5
ctrl_3	444	5
ctrl_4	415	5
Halo_1	374	5
Halo_2	397	5
Halo_3	408	5
Halo_4	396	5
ctrl_1	63	6
ctrl_2	57	6
ctrl_3	56	6
ctrl_4	51	6
Halo_1	47	6
Halo_2	48	6
Halo_3	48	6
Halo_4	51	6
ctrl_1	8	7
ctrl_2	9	7
ctrl_3	9	7
ctrl_4	8	7
Halo_1	5	7
Halo_2	7	7
Halo_3	7	7
Halo_4	6	7
ctrl_1	0	8
ctrl_2	0	8
ctrl_3	0	8
ctrl_4	0	8
Halo_1	0	8
Halo_2	0	8
Halo_3	0	8
Halo_4	0	8
