SampleA	SampleB	Spearman
ctrl_1	ctrl_1	1
ctrl_2	ctrl_1	0.937
ctrl_3	ctrl_1	0.954
ctrl_4	ctrl_1	0.939
Halo_1	ctrl_1	0.914
Halo_2	ctrl_1	0.914
Halo_3	ctrl_1	0.898
Halo_4	ctrl_1	0.898
ctrl_1	ctrl_2	0.937
ctrl_2	ctrl_2	1
ctrl_3	ctrl_2	0.953
ctrl_4	ctrl_2	0.96
Halo_1	ctrl_2	0.935
Halo_2	ctrl_2	0.936
Halo_3	ctrl_2	0.926
Halo_4	ctrl_2	0.917
ctrl_1	ctrl_3	0.954
ctrl_2	ctrl_3	0.953
ctrl_3	ctrl_3	1
ctrl_4	ctrl_3	0.959
Halo_1	ctrl_3	0.935
Halo_2	ctrl_3	0.935
Halo_3	ctrl_3	0.917
Halo_4	ctrl_3	0.915
ctrl_1	ctrl_4	0.939
ctrl_2	ctrl_4	0.96
ctrl_3	ctrl_4	0.959
ctrl_4	ctrl_4	1
Halo_1	ctrl_4	0.954
Halo_2	ctrl_4	0.95
Halo_3	ctrl_4	0.937
Halo_4	ctrl_4	0.932
ctrl_1	Halo_1	0.914
ctrl_2	Halo_1	0.935
ctrl_3	Halo_1	0.935
ctrl_4	Halo_1	0.954
Halo_1	Halo_1	1
Halo_2	Halo_1	0.971
Halo_3	Halo_1	0.962
Halo_4	Halo_1	0.951
ctrl_1	Halo_2	0.914
ctrl_2	Halo_2	0.936
ctrl_3	Halo_2	0.935
ctrl_4	Halo_2	0.95
Halo_1	Halo_2	0.971
Halo_2	Halo_2	1
Halo_3	Halo_2	0.967
Halo_4	Halo_2	0.963
ctrl_1	Halo_3	0.898
ctrl_2	Halo_3	0.926
ctrl_3	Halo_3	0.917
ctrl_4	Halo_3	0.937
Halo_1	Halo_3	0.962
Halo_2	Halo_3	0.967
Halo_3	Halo_3	1
Halo_4	Halo_3	0.962
ctrl_1	Halo_4	0.898
ctrl_2	Halo_4	0.917
ctrl_3	Halo_4	0.915
ctrl_4	Halo_4	0.932
Halo_1	Halo_4	0.951
Halo_2	Halo_4	0.963
Halo_3	Halo_4	0.962
Halo_4	Halo_4	1
