Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O75909	CCNK	9.17535303947429e-14	31797.2916683333	1338.94997158333	4.56865284702151	9.67388055461906e-11
P36873	PPP1CC	8.18795733545118e-14	15398.3868816667	771.668975683333	4.31678494162476	9.67388055461906e-11
Q15014	MORF4L2	7.41609627356125e-14	88898.027345	5234.565511	4.08573412486325	9.67388055461906e-11
Q9UFW8	CGGBP1	2.67070984796926e-13	19421.5817033333	1048.60921228333	4.20973650676457	2.11186381228169e-10
P41214	EIF2D	5.7689032006012e-13	23231.19987	282.225128183333	6.35797059041574	2.60672011764308e-10
Q9NWK9	ZNHIT6	5.21917287258501e-13	6477.78572616667	131.29826355	5.61363471599496	2.60672011764308e-10
Q9P1Y6	PHRF1	4.64698643659562e-13	5844.66007466667	161.3515574	5.16992599084261	2.60672011764308e-10
P53621	COPA	1.09028712559279e-12	14878.06185	981.718749966667	3.92026420774643	4.25289778379827e-10
Q9UI10	EIF2B4	1.29970015894272e-12	8783.56721983333	74.1880696666667	6.8681593990253	4.25289778379827e-10
Q9Y5M8	SRPRB	1.34457723167824e-12	75056.7747416667	3983.02030416667	4.23568539253957	4.25289778379827e-10
Q8TEU8	WFIKKN2	3.21203709512854e-12	55346.078125	2514.12699383333	4.45977793834102	9.23606666535598e-10
Q96SN8	CDK5RAP2	3.73490405256719e-12	2996.9645995	53.0699361166667	5.79253158055792	9.84458459855834e-10
P85037	FOXK1	4.31319976655401e-12	32781.9329433333	3679.76269533333	3.15482427857833	1.00051378841429e-09
Q9HC35	EML4	4.42845179822957e-12	8824.39754216667	159.507817583333	5.78078231522124	1.00051378841429e-09
O95793	STAU1	5.24502306449238e-12	14695.1840833333	1016.50687665	3.85223298157518	1.03687549706184e-09
Q8IWS0	PHF6	4.9863178308644e-12	41930.1959633333	2953.314494	3.82709425491927	1.03687549706184e-09
