PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,0.581611633,NaN,NaN,NaN,NaN,NaN
A0A1B0GWG4,SERTM2,233.2950897,305.0821838,548.6148071,NaN,997.9993896,Filtered,5042.586426,7031.34375,6083.077148,6732.456543,8163.059082,5350.740723
A0AV96,RBM47,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3895.759766,4538.837891,4199.742676,4873.996582,4842.066895,6043.090332
A0FGR8,ESYT2,1431.969116,1138.267944,1229.726685,1403.050537,3472.745605,2254.44751,17742.30078,19931.77539,19786.86914,18742.47852,20073.13086,18524.29492
A0JLT2,MED19,NaN,NaN,NaN,NaN,NaN,Filtered,2996.590088,4570.682129,4676.360352,3460.105957,4175.492188,5133.744141
A0PJW6,TMEM223,413.2609558,1339.695557,585.7437744,364.1673279,806.1082764,630.5022583,2650.560059,3691.366211,3247.810059,3263.777832,4337.068848,3317.989502
A1L020,MEX3A,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,14922.42188,26186.57813,10044.74316,27599.64453,22868.42969,26753.14258
A1L0T0,ILVBL,Filtered,Filtered,Filtered,Filtered,457.8240662,Filtered,1099.610962,682.7177124,820.8371582,682.550415,987.243042,1764.162842
A1X283,SH3PXD2B,Filtered,Filtered,Filtered,Filtered,1031.884277,Filtered,3517.512207,2248.927734,3983.743896,2609.421387,4131.571777,4580.150391
A2A3N6,PIPSL,Filtered,Filtered,NaN,Filtered,Filtered,Filtered,18998.58789,18401.76758,18440.1543,22179.54492,22358.00977,23130.05078
A2RRP1,NBAS,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1250.807007,1303.162842,1890.751221,1468.733032,1201.236084,1883.585327
A2VDJ0,TMEM131L,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1131.734985,2338.397461,2029.435425,1774.002563,1523.663452,1701.112915
A3KMH1,VWA8,Filtered,Filtered,Filtered,Filtered,99450.36719,68440.92969,4921.223633,5453.967285,4932.506348,3611.210449,5559.272949,7683.121094
A4D1E9,GTPBP10,1035.897095,735.4258423,889.2044678,521.8277588,1547.802979,682.3855591,14495.46094,20275.8125,18094.46094,18231.23242,18875.98438,20734.08008
A5YKK6,CNOT1,427.9824829,521.781189,479.8572083,399.11026,1174.812256,953.1835938,5956.94043,7239.018555,7895.243652,6603.292969,6965.296387,7654.898438
A6H8Y1,BDP1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2102.714844,2085.60498,1667.993164,1620.57666,1894.226563,1600.112061
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,1790.35083,1217.301514,1721.038208,1156.133911,6498.157227,1261.250854,9744.088867,8134.713379,9478.80957,9977.574219,10621.01172,17613.50195
A6ND36,FAM83G,508.3159485,935.4847412,Filtered,Filtered,1140.70105,881.5056152,5363.232422,4088.895508,6085.172852,5499.800293,5952.570313,6667.037598
A6NHL2,TUBAL3,Filtered,NaN,Filtered,NaN,1057.174194,NaN,1106.480225,1997.766602,1342.573242,918.5704346,984.3190308,2219.675781
A6NHR9,SMCHD1,1683.891724,1199.296265,1340.61438,1491.888794,1997.430542,1078.207764,9519.253906,10578.56738,12080.87305,10830.5918,11470.6543,11539.65039
A6NJ78,METTL15,Filtered,NaN,Filtered,Filtered,Filtered,Filtered,5861.838867,7079.654297,6561.663574,7021.349609,6582.013672,8906.320313
A8CG34,POM121C,1139.715576,1076.793335,1529.692871,1137.01355,1408.293213,2436.486572,6967.081055,7182.133301,7349.922852,7656.052246,7527.171387,8864.049805
A8MWD9;P62308,SNRPGP15;SNRPG,1077.807617,1046.900635,1362.827759,1563.743896,5466.374512,2139.534668,67845.0625,112881.7813,120263.2344,95481.32031,109921.3516,117429.0391
B0YJ81,HACD1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2420.901367,1221.071167,1902.141113,2400.341797,2795.696045,2485.950928
B5ME19;Q99613,EIF3CL;EIF3C,1589.515259,1458.764282,2853.173584,2298.391113,7156.669922,3761.189941,336831.125,376278.2188,427336.3125,376562.6563,401123.1563,425567.8438
B7ZAQ6;P0CG08,GPR89A;GPR89B,Filtered,Filtered,NaN,Filtered,276.2261963,NaN,2467.459473,2883.074707,2295.305908,1626.679199,2315.628662,2004.060669
C9JLW8,MCRIP1,Filtered,Filtered,NaN,NaN,Filtered,NaN,2985.641357,3906.749023,4039.168213,4450.333496,3925.726807,4093.499512
E9PAV3;Q13765,NACA,2610.628906,1902.266602,2773.300781,2624.049072,16485.3457,4520.968262,27887.93945,32960.64844,34398.58984,28247.45117,33145.80078,32753.04297
E9PRG8,C11orf98,3162.747559,3553.739014,4185.628418,2794.349854,7086.138672,4476.437012,53493.0625,59150.92188,83678.86719,64587.00781,70759.61719,59789.02734
