cohort,Group Name,age,Subject or Animal ID,sex,strain,Location,Preparation batch,MS sample label,MS Run Label,,sample
C2,SLAM,6,309,F,B6,URL:SLAM 4-Shelf 3-Rack 13 Box 924,Batch 1,1,SLAM_1_309.raw,,SLAM_1
C2,SLAM,6,229,F,HET3,URL:SLAM 4-Shelf 3-Rack 13 Box 924,Batch 1,2,SLAM_2_229.raw,,SLAM_2
C2,SLAM,6,380,M,B6,URL:SLAM 4-Shelf 3-Rack 13 Box 924,Batch 1,3,SLAM_3_380.raw,,SLAM_3
C7,SLAM,24,1464,M,B6,URL:SLAM 3-Shelf 3-Rack 17Box 422,Batch 2,4,SLAM_4_1464.raw,,SLAM_4
C2,SLAM,6,251,M,HET3,URL:SLAM 4-Shelf 3-Rack 13 Box 924,Batch 1,5,SLAM_5_251.raw,,SLAM_5
C1,SLAM,12,109,F,B6,URL:SLAM 4-Shelf 3-Rack 17 Box 1010,Batch 1,6,SLAM_6_109.raw,,SLAM_6
C8,SLAM,24,1626,F,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 322,Batch 2,7,SLAM_7_1626.raw,,SLAM_7
C6,SLAM,12,1069,F,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 1,8,SLAM_8_1069p.raw,,SLAM_8
C10,SLAM,21,2060,M,HET3,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 2,9,SLAM_9_2060.raw,,SLAM_9
C1,SLAM,12,184,M,B6,URL:SLAM 4-Shelf 3-Rack 17 Box 1010,Batch 1,10,SLAM_10_184.raw,,SLAM_10
C1,SLAM,12,54,M,HET3,URL:SLAM 4-Shelf 3-Rack 17 Box 1010,Batch 1,11,SLAM_11_54.raw,,SLAM_11
C10,SLAM,21,1968,M,B6,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 2,12,SLAM_12_1968.raw,,SLAM_12
C16,SLAM,18,3284,F,B6,URL:SLAM 1-Shelf 1-Rack 6 Box 1339,Batch 1,13,SLAM_13_3284.raw,,SLAM_13
