ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0051085	GO:0051085	chaperone cofactor-dependent protein refolding	1/1	13/2590	0.00501930501930503	0.0226512226512228	0.0043351622298991	DNAJB4	1	go_bp
GO:0051084	GO:0051084	'de novo' post-translational protein folding	1/1	14/2590	0.00540540540540546	0.0226512226512228	0.0043351622298991	DNAJB4	1	go_bp
GO:0006458	GO:0006458	'de novo' protein folding	1/1	16/2590	0.00617760617760621	0.0226512226512228	0.0043351622298991	DNAJB4	1	go_bp
GO:0061077	GO:0061077	chaperone-mediated protein folding	1/1	28/2590	0.0108108108108108	0.0270752895752896	0.00518187360292624	DNAJB4	1	go_bp
GO:0009408	GO:0009408	response to heat	1/1	39/2590	0.015057915057915	0.0270752895752896	0.00518187360292624	DNAJB4	1	go_bp
GO:0006986	GO:0006986	response to unfolded protein	1/1	46/2590	0.0177606177606178	0.0270752895752896	0.00518187360292624	DNAJB4	1	go_bp
GO:0009266	GO:0009266	response to temperature stimulus	1/1	46/2590	0.0177606177606178	0.0270752895752896	0.00518187360292624	DNAJB4	1	go_bp
GO:0035966	GO:0035966	response to topologically incorrect protein	1/1	51/2590	0.0196911196911197	0.0270752895752896	0.00518187360292624	DNAJB4	1	go_bp
GO:0006457	GO:0006457	protein folding	1/1	73/2590	0.0281853281853282	0.0344487344487344	0.00659305922463816	DNAJB4	1	go_bp
GO:0009628	GO:0009628	response to abiotic stimulus	1/1	184/2590	0.071042471042471	0.0781467181467181	0.0149563096931518	DNAJB4	1	go_bp
GO:0010033	GO:0010033	response to organic substance	1/1	452/2590	0.174517374517374	0.174517374517374	0.033400454453086	DNAJB4	1	go_bp
GO:0001671	GO:0001671	ATPase activator activity	1/1	14/2651	0.00528102602791403	0.0132025650697851	0.00277948738311265	DNAJB4	1	go_mf
GO:0140677	GO:0140677	molecular function activator activity	1/1	14/2651	0.00528102602791403	0.0132025650697851	0.00277948738311265	DNAJB4	1	go_mf
GO:0051087	GO:0051087	chaperone binding	1/1	27/2651	0.010184835910977	0.0169747265182949	0.00357362663543051	DNAJB4	1	go_mf
GO:0051082	GO:0051082	unfolded protein binding	1/1	46/2651	0.0173519426631461	0.0216899283289326	0.00456630070082792	DNAJB4	1	go_mf
GO:0098772	GO:0098772	molecular function regulator activity	1/1	236/2651	0.089023010184836	0.089023010184836	0.0187416863547023	DNAJB4	1	go_mf
