ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0051085	GO:0051085	chaperone cofactor-dependent protein refolding	1/1	14/2589	0.00540749324063372	0.0240762199047256	0.00460788897698098	DNAJB4	1	go_bp
GO:0051084	GO:0051084	'de novo' post-translational protein folding	1/1	15/2589	0.00579374275782163	0.0240762199047256	0.00460788897698098	DNAJB4	1	go_bp
GO:0006458	GO:0006458	'de novo' protein folding	1/1	17/2589	0.00656624179219789	0.0240762199047256	0.00460788897698098	DNAJB4	1	go_bp
GO:0061077	GO:0061077	chaperone-mediated protein folding	1/1	29/2589	0.0112012359984551	0.0270857473928158	0.00518387509910351	DNAJB4	1	go_bp
GO:0009408	GO:0009408	response to heat	1/1	39/2589	0.015063731170336	0.0270857473928158	0.00518387509910351	DNAJB4	1	go_bp
GO:0006986	GO:0006986	response to unfolded protein	1/1	46/2589	0.0177674777906528	0.0270857473928158	0.00518387509910351	DNAJB4	1	go_bp
GO:0009266	GO:0009266	response to temperature stimulus	1/1	46/2589	0.0177674777906528	0.0270857473928158	0.00518387509910351	DNAJB4	1	go_bp
GO:0035966	GO:0035966	response to topologically incorrect protein	1/1	51/2589	0.0196987253765933	0.0270857473928158	0.00518387509910351	DNAJB4	1	go_bp
GO:0006457	GO:0006457	protein folding	1/1	74/2589	0.0285824642719197	0.0349341229990129	0.00668595655483501	DNAJB4	1	go_bp
GO:0009628	GO:0009628	response to abiotic stimulus	1/1	184/2589	0.0710699111626111	0.0781769022788722	0.0149620865605497	DNAJB4	1	go_bp
GO:0010033	GO:0010033	response to organic substance	1/1	454/2589	0.175357280803399	0.175357280803399	0.0335612020676362	DNAJB4	1	go_bp
GO:0001671	GO:0001671	ATPase activator activity	1/1	14/2651	0.00528102602791403	0.0132025650697851	0.00277948738311265	DNAJB4	1	go_mf
GO:0140677	GO:0140677	molecular function activator activity	1/1	14/2651	0.00528102602791403	0.0132025650697851	0.00277948738311265	DNAJB4	1	go_mf
GO:0051087	GO:0051087	chaperone binding	1/1	28/2651	0.0105620520558278	0.0176034200930464	0.00370598317748345	DNAJB4	1	go_mf
GO:0051082	GO:0051082	unfolded protein binding	1/1	47/2651	0.0177291588079969	0.0221614485099961	0.00466556810736759	DNAJB4	1	go_mf
GO:0098772	GO:0098772	molecular function regulator activity	1/1	234/2651	0.0882685778951338	0.0882685778951338	0.0185828585042387	DNAJB4	1	go_mf
