Sample	N	Threshold
Control_1	2001	0
Control_2	1959	0
Control_3	2090	0
Control_4	1950	0
Control_5	2680	0
Control_6	2288	0
UNC13A_CE_1	3232	0
UNC13A_CE_2	3223	0
UNC13A_CE_3	3254	0
UNC13A_CE_4	3227	0
UNC13A_CE_5	3217	0
UNC13A_CE_6	3195	0
UNC13A_WT_1	3206	0
UNC13A_WT_2	3235	0
UNC13A_WT_3	3225	0
UNC13A_WT_4	3217	0
UNC13A_WT_5	3233	0
UNC13A_WT_6	3223	0
Control_1	1995	1
Control_2	1945	1
Control_3	2079	1
Control_4	1941	1
Control_5	2663	1
Control_6	2279	1
UNC13A_CE_1	3226	1
UNC13A_CE_2	3218	1
UNC13A_CE_3	3240	1
UNC13A_CE_4	3217	1
UNC13A_CE_5	3208	1
UNC13A_CE_6	3189	1
UNC13A_WT_1	3194	1
UNC13A_WT_2	3223	1
UNC13A_WT_3	3220	1
UNC13A_WT_4	3210	1
UNC13A_WT_5	3226	1
UNC13A_WT_6	3213	1
Control_1	1989	2
Control_2	1940	2
Control_3	2074	2
Control_4	1937	2
Control_5	2660	2
Control_6	2279	2
UNC13A_CE_1	3223	2
UNC13A_CE_2	3217	2
UNC13A_CE_3	3237	2
UNC13A_CE_4	3216	2
UNC13A_CE_5	3206	2
UNC13A_CE_6	3187	2
UNC13A_WT_1	3193	2
UNC13A_WT_2	3223	2
UNC13A_WT_3	3219	2
UNC13A_WT_4	3210	2
UNC13A_WT_5	3224	2
UNC13A_WT_6	3213	2
Control_1	1345	3
Control_2	1262	3
Control_3	1453	3
Control_4	1283	3
Control_5	2154	3
Control_6	1666	3
UNC13A_CE_1	3114	3
UNC13A_CE_2	3117	3
UNC13A_CE_3	3165	3
UNC13A_CE_4	3104	3
UNC13A_CE_5	3082	3
UNC13A_CE_6	3022	3
UNC13A_WT_1	3053	3
UNC13A_WT_2	3101	3
UNC13A_WT_3	3088	3
UNC13A_WT_4	3064	3
UNC13A_WT_5	3101	3
UNC13A_WT_6	3086	3
Control_1	263	4
Control_2	247	4
Control_3	278	4
Control_4	261	4
Control_5	543	4
Control_6	350	4
UNC13A_CE_1	1395	4
UNC13A_CE_2	1412	4
UNC13A_CE_3	1612	4
UNC13A_CE_4	1394	4
UNC13A_CE_5	1354	4
UNC13A_CE_6	1271	4
UNC13A_WT_1	1228	4
UNC13A_WT_2	1342	4
UNC13A_WT_3	1364	4
UNC13A_WT_4	1361	4
UNC13A_WT_5	1357	4
UNC13A_WT_6	1414	4
Control_1	38	5
Control_2	39	5
Control_3	38	5
Control_4	37	5
Control_5	67	5
Control_6	52	5
UNC13A_CE_1	267	5
UNC13A_CE_2	270	5
UNC13A_CE_3	321	5
UNC13A_CE_4	274	5
UNC13A_CE_5	264	5
UNC13A_CE_6	250	5
UNC13A_WT_1	224	5
UNC13A_WT_2	260	5
UNC13A_WT_3	274	5
UNC13A_WT_4	264	5
UNC13A_WT_5	270	5
UNC13A_WT_6	278	5
Control_1	7	6
Control_2	3	6
Control_3	6	6
Control_4	3	6
Control_5	8	6
Control_6	4	6
UNC13A_CE_1	33	6
UNC13A_CE_2	34	6
UNC13A_CE_3	36	6
UNC13A_CE_4	34	6
UNC13A_CE_5	34	6
UNC13A_CE_6	30	6
UNC13A_WT_1	29	6
UNC13A_WT_2	37	6
UNC13A_WT_3	36	6
UNC13A_WT_4	36	6
UNC13A_WT_5	34	6
UNC13A_WT_6	36	6
Control_1	0	7
Control_2	0	7
Control_3	0	7
Control_4	0	7
Control_5	1	7
Control_6	1	7
UNC13A_CE_1	0	7
UNC13A_CE_2	0	7
UNC13A_CE_3	1	7
UNC13A_CE_4	0	7
UNC13A_CE_5	0	7
UNC13A_CE_6	0	7
UNC13A_WT_1	0	7
UNC13A_WT_2	0	7
UNC13A_WT_3	1	7
UNC13A_WT_4	1	7
UNC13A_WT_5	0	7
UNC13A_WT_6	0	7
Control_1	0	8
Control_2	0	8
Control_3	0	8
Control_4	0	8
Control_5	0	8
Control_6	0	8
UNC13A_CE_1	0	8
UNC13A_CE_2	0	8
UNC13A_CE_3	0	8
UNC13A_CE_4	0	8
UNC13A_CE_5	0	8
UNC13A_CE_6	0	8
UNC13A_WT_1	0	8
UNC13A_WT_2	0	8
UNC13A_WT_3	0	8
UNC13A_WT_4	0	8
UNC13A_WT_5	0	8
UNC13A_WT_6	0	8
