SampleA	SampleB	Spearman
Control_1	Control_1	1
Control_2	Control_1	0.869
Control_3	Control_1	0.895
Control_4	Control_1	0.876
Control_5	Control_1	0.812
Control_6	Control_1	0.873
UNC13A_CE_1	Control_1	0.576
UNC13A_CE_2	Control_1	0.577
UNC13A_CE_3	Control_1	0.579
UNC13A_CE_4	Control_1	0.581
UNC13A_CE_5	Control_1	0.579
UNC13A_CE_6	Control_1	0.575
UNC13A_WT_1	Control_1	0.597
UNC13A_WT_2	Control_1	0.587
UNC13A_WT_3	Control_1	0.586
UNC13A_WT_4	Control_1	0.586
UNC13A_WT_5	Control_1	0.586
UNC13A_WT_6	Control_1	0.579
Control_1	Control_2	0.869
Control_2	Control_2	1
Control_3	Control_2	0.882
Control_4	Control_2	0.881
Control_5	Control_2	0.817
Control_6	Control_2	0.866
UNC13A_CE_1	Control_2	0.57
UNC13A_CE_2	Control_2	0.571
UNC13A_CE_3	Control_2	0.575
UNC13A_CE_4	Control_2	0.576
UNC13A_CE_5	Control_2	0.576
UNC13A_CE_6	Control_2	0.572
UNC13A_WT_1	Control_2	0.589
UNC13A_WT_2	Control_2	0.58
UNC13A_WT_3	Control_2	0.579
UNC13A_WT_4	Control_2	0.581
UNC13A_WT_5	Control_2	0.582
UNC13A_WT_6	Control_2	0.574
Control_1	Control_3	0.895
Control_2	Control_3	0.882
Control_3	Control_3	1
Control_4	Control_3	0.877
Control_5	Control_3	0.881
Control_6	Control_3	0.864
UNC13A_CE_1	Control_3	0.541
UNC13A_CE_2	Control_3	0.542
UNC13A_CE_3	Control_3	0.55
UNC13A_CE_4	Control_3	0.547
UNC13A_CE_5	Control_3	0.543
UNC13A_CE_6	Control_3	0.532
UNC13A_WT_1	Control_3	0.562
UNC13A_WT_2	Control_3	0.556
UNC13A_WT_3	Control_3	0.552
UNC13A_WT_4	Control_3	0.553
UNC13A_WT_5	Control_3	0.557
UNC13A_WT_6	Control_3	0.542
Control_1	Control_4	0.876
Control_2	Control_4	0.881
Control_3	Control_4	0.877
Control_4	Control_4	1
Control_5	Control_4	0.805
Control_6	Control_4	0.901
UNC13A_CE_1	Control_4	0.598
UNC13A_CE_2	Control_4	0.599
UNC13A_CE_3	Control_4	0.606
UNC13A_CE_4	Control_4	0.606
UNC13A_CE_5	Control_4	0.606
UNC13A_CE_6	Control_4	0.603
UNC13A_WT_1	Control_4	0.612
UNC13A_WT_2	Control_4	0.606
UNC13A_WT_3	Control_4	0.603
UNC13A_WT_4	Control_4	0.61
