Sample	UMAP1	UMAP2	condition
Control_1	-2.30655693585253	20.9039242680118	Control
Control_2	-2.67134127774318	21.2776632327976	Control
Control_3	-2.41637024879211	21.5283633026693	Control
Control_4	-1.8652388892358	21.1789180111863	Control
Control_5	-2.37303846693624	22.3057550408002	Control
Control_6	-2.02081541555572	21.7944748152911	Control
UNC13A_CE_1	0.284734199001785	-11.2622891171041	UNC13A_CE
UNC13A_CE_2	0.957140876696819	-10.6136067550257	UNC13A_CE
UNC13A_CE_3	1.38826104408766	-11.6592081109753	UNC13A_CE
UNC13A_CE_4	0.432507354640028	-10.7094587995918	UNC13A_CE
UNC13A_CE_5	0.797047715884225	-11.5384025476267	UNC13A_CE
UNC13A_CE_6	-0.303460914411025	-10.727489160921	UNC13A_CE
UNC13A_WT_1	1.52249344532295	-10.3900588089653	UNC13A_WT
UNC13A_WT_2	2.04892154416395	-10.3128229921092	UNC13A_WT
UNC13A_WT_3	1.52972419528592	-11.034431891278	UNC13A_WT
UNC13A_WT_4	1.03012411429543	-9.87062975013148	UNC13A_WT
UNC13A_WT_5	2.18333026484821	-11.0740897283528	UNC13A_WT
UNC13A_WT_6	1.78253739429963	-9.79661100867504	UNC13A_WT
