ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0051085	GO:0051085	chaperone cofactor-dependent protein refolding	1/1	13/2943	0.00441726129799513	0.0199343073960809	0.00381517844901069	DNAJB4	1	go_bp
GO:0051084	GO:0051084	'de novo' post-translational protein folding	1/1	14/2943	0.0047570506286102	0.0199343073960809	0.00381517844901069	DNAJB4	1	go_bp
GO:0006458	GO:0006458	'de novo' protein folding	1/1	16/2943	0.00543662928984023	0.0199343073960809	0.00381517844901069	DNAJB4	1	go_bp
GO:0061077	GO:0061077	chaperone-mediated protein folding	1/1	28/2943	0.00951410125722063	0.024294937138974	0.00464974873473187	DNAJB4	1	go_bp
GO:0009408	GO:0009408	response to heat	1/1	42/2943	0.0142711518858309	0.024294937138974	0.00464974873473187	DNAJB4	1	go_bp
GO:0006986	GO:0006986	response to unfolded protein	1/1	47/2943	0.0159700985389061	0.024294937138974	0.00464974873473187	DNAJB4	1	go_bp
GO:0009266	GO:0009266	response to temperature stimulus	1/1	49/2943	0.0166496772001358	0.024294937138974	0.00464974873473187	DNAJB4	1	go_bp
GO:0035966	GO:0035966	response to topologically incorrect protein	1/1	52/2943	0.0176690451919811	0.024294937138974	0.00464974873473187	DNAJB4	1	go_bp
GO:0006457	GO:0006457	protein folding	1/1	76/2943	0.0258239891267414	0.0315626533771284	0.00604069921093367	DNAJB4	1	go_bp
GO:0009628	GO:0009628	response to abiotic stimulus	1/1	203/2943	0.0689772341148489	0.0758749575263338	0.0145215229715471	DNAJB4	1	go_bp
GO:0010033	GO:0010033	response to organic substance	1/1	491/2943	0.166836561331974	0.166836561331974	0.0319304423601864	DNAJB4	1	go_bp
GO:0001671	GO:0001671	ATPase activator activity	1/1	14/3016	0.00464190981432344	0.0116047745358086	0.00244311042859129	DNAJB4	1	go_mf
GO:0140677	GO:0140677	molecular function activator activity	1/1	14/3016	0.00464190981432344	0.0116047745358086	0.00244311042859129	DNAJB4	1	go_mf
GO:0051087	GO:0051087	chaperone binding	1/1	28/3016	0.00928381962864711	0.0154730327144118	0.00325748057145512	DNAJB4	1	go_mf
GO:0051082	GO:0051082	unfolded protein binding	1/1	47/3016	0.0155835543766577	0.0194794429708221	0.00410093536227834	DNAJB4	1	go_mf
GO:0098772	GO:0098772	molecular function regulator activity	1/1	268/3016	0.0888594164456232	0.0888594164456232	0.0187072455674996	DNAJB4	1	go_mf
