ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0005681	GO:0005681	spliceosomal complex	139/2519	143/3042	4.14212702327538e-08	1.4211830935113e-05	1.27608281517953e-05	PPIE/ZCCHC8/LSM7/AKAP17A/BUD13/CDC40/TXNL4A/CRNKL1/CTNNBL1/CCDC12/LSM2/PRKRIP1/LSM4/HNRNPH1/SNRNP70/LSM6/SNRPE/ZNF830/HNRNPU/SNRPA/HNRNPH3/MTREX/SYNCRIP/SNRPD2/SNRPB/RBM3/BUD31/SNRPD3/NCL/HNRNPA1/HNRNPF/PPIL2/LSM8/SNU13/SRRM1/HNRNPA3/PRPF4/PRPF31/PRPF19/ZCRB1/ALYREF/SNRPF/CWF19L1/DHX16/SNRNP200/HNRNPA2B1/SMU1/CIRBP/LSM3/USP39/PRPF3/EFTUD2/SNRNP40/PRPF8/CWF19L2/DDX5/HNRNPR/RBM17/RBM5/PRPF6/DDX23/IK/SRRM2/DHX15/GEMIN2/RBM22/RBMX/SNRPC/CDC5L/GPKOW/SF3B2/DHX38/SART1/PNN/SRSF1/SF3B4/UPF1/TRA2A/SNRPA1/PABPC1/TRA2B/SF3B3/DDX41/AQR/BCAS2/WBP11/SF3B1/SF3B6/YBX1/CASC3/PHF5A/ADAR/SF1/SF3A1/RBMX2/API5/HNRNPK/SNIP1/EIF4A3/SF3B5/PRPF4B/PRPF40A/XAB2/SREK1/SRSF2/TFIP11/CWC25/SF3A2/DHX8/RBM8A/HNRNPM/SF3A3/RBM28/SMNDC1/SNRPB2/PLRG1/FRG1/PPIH/SNRPD1/ISY1/SLU7/SNW1/CACTIN/U2AF2/PPIL1/DHX35/DDX39B/PRPF38B/WDR83/LUC7L/SUGP1/HSPA8/HNRNPC/RALY/LUC7L3/ZMAT2/PPIL3/LUC7L2/MFAP1	139	go_cc
GO:0016604	GO:0016604	nuclear body	314/2519	340/3042	6.33043694214388e-08	1.4211830935113e-05	1.27608281517953e-05	PPIE/ZCCHC8/REXO1/POLK/SETD1A/NSMCE4A/INTS13/NOP10/LSM11/EAF1/AKAP17A/GEMIN7/NXT1/RAPH1/STAG1/TERF2/SETX/CDC40/ITGB1BP1/SCAPER/RBM19/CHD3/SNAPC5/SUZ12/MBD4/SYMPK/CRNKL1/ABL1/DOCK1/ICE2/SNAPC3/PRKACA/NSL1/TERF2IP/USP7/NBN/DAXX/EIF3E/OGG1/THOC7/PATL1/CBLL1/MED7/EXO1/EIF2D/TRIM25/PIP5K1A/TRIP4/SNRNP70/H1-0/ZNF830/HNRNPU/GEMIN5/NSMCE2/WTAP/POLE2/CDK2/SAP18/YARS2/MRE11/SART3/APEX1/ASCC3/NELFE/MTREX/LSM10/SENP2/CSTF2/SRPK2/SIRT7/TARBP2/BRCA1/LARS1/SNRPD3/SUGP2/NCBP3/CNOT7/DRG1/KIF2A/BLM/GEMIN4/THOC6/SRRM1/PRPF4/PRPF31/PRPF19/PCNP/DGCR8/KNL1/THOC3/NELFA/DDX1/ALYREF/THRAP3/PSPC1/IFI16/FOXC2/SRPK1/SMC4/RBM10/SMN1/HNRNPA2B1/SRSF9/SMU1/MRPL44/GTF2H4/INCENP/SMC6/SLTM/MTOR/BCLAF1/SRSF5/PRPF3/EFTUD2/NONO/TOPBP1/SNRNP40/PRPF8/TOE1/SFPQ/GAR1/CBX4/RBM27/PRPF6/DHX9/SAP130/IK/PARP1/CDK12/SRRM2/DHX15/GEMIN2/RBM15B/PAPOLG/LSG1/NXF1/NHP2/RBBP6/PPP1CC/SNRPC/PRKAA1/CDC5L/DDX17/SF3B2/MTDH/SART1/MSL1/PNN/CDK9/ASCC1/ORC3/DDX20/EWSR1/GTF2E2/SRSF1/SRSF7/DHX36/CKAP4/SNRPA1/COIL/BHLHE40/YARS1/DUSP11/RBM15/ZNF638/SRSF10/FBL/CDK13/BCAS2/ATXN2L/LRCH4/GNL3/MORF4L1/SF3B1/NUFIP2/YME1L1/UIMC1/MKI67/CASC3/PHF5A/ZC3H18/PPP1R10/SF1/SF3A1/ZC3H13/TCERG1/CSNK1A1/KIF22/CLK3/API5/SAFB2/ZC3H8/POLDIP3/C12orf57/AKAP8L/EIF4A3/ZNF217/FAM76B/SBF1/EPB41/PHAX/CIR1/CPSF6/SRSF6/PRPF4B/PRPF40A/NCAPG2/RPN2/NUDT21/RBM25/SREK1/THOC2/ALKBH5/SRSF2/TFIP11/PABPN1/RPA2/CWC25/SF3A2/DHX8/CHTOP/RNPS1/PQBP1/RBM8A/HNRNPM/DKC1/SF3A3/RING1/SRSF4/RBM4/NGRN/ECT2/SMNDC1/NR3C1/GTF2B/SMC5/SON/SRSF11/ASCC2/GEMIN6/ATP6V0A1/VIRMA/DDX42/SNRPB2/CCNL1/TOP3A/RSRC1/WRN/CD2BP2/POLR3G/PLRG1/FMR1/RMI2/FRG1/PPIH/GON4L/HAUS6/RPA1/SLU7/SNW1/GEMIN8/CACTIN/NDUFS3/ADD1/U2AF2/IGHMBP2/SRRT/NSRP1/SCAF11/AFDN/ZC3H14/YLPM1/DDX39B/SLC2A4RG/DAPK3/HABP4/PSME4/HP1BP3/REXO4/ATR/DNAJC11/NOLC1/TAP2/PCBP1/CREBBP/RBM39/RNF2/UNC45A/SCNM1/YTHDC1/HMG20B/THOC1/RMI1/LUC7L3/RBM14/ZWINT/NOP58/TRIP12/SRSF3/TCF12/EIF4ENIF1/ACIN1/SARNP/SUMO1/TRIM27/DCAF7/TIMM50/DDX46/LUC7L2/LMNA/SQSTM1/UBE2I/ERBIN/ARL6IP4	314	go_cc
GO:1990234	GO:1990234	transferase complex	218/2519	232/3042	1.69348464449634e-07	2.53458201792952e-05	2.27580568014771e-05	POLR2L/POLR3E/POLR2K/TADA3/SETD1A/NSMCE4A/TAF10/NSMCE3/MED30/MRGBP/METTL14/CRCP/MNAT1/KCTD10/TRMT61A/MED11/MCRS1/ASH2L/KAT2A/PELP1/CCNA2/NSMCE1/CBX8/LAS1L/KAT7/MED24/NAA35/TRRAP/MED31/RBX1/TAF8/CCNH/SUZ12/DDB2/SGF29/GTF2H1/POLR2I/TEX10/TADA2B/NAA30/MSL2/KANSL2/NCOA6/POLD3/YEATS4/TAF6L/POLR3D/RAMAC/MED10/POLR1G/CBLL1/POLE/CCNB1/MED7/POLR1D/ERCC3/POLR2C/ERCC2/BRPF1/SNRPE/POLR1B/NSMCE2/WTAP/POLE2/CDK2/POLR1E/EED/POLR1C/SNRPD2/SNRPB/POLR3K/BRCA1/CCNC/CCNB2/SNRPD3/MLLT3/GTF2E1/ANAPC7/POLR2H/PRPF31/POLR3A/PRPSAP1/POLR2F/POLG2/CUL1/SNRPF/POLD1/MED27/TMEM258/BOD1L1/GTF2H4/SMC6/ERH/CCNK/CBX4/POLR1F/ELOB/RHBDD2/CDK12/POLD2/ERC1/RBM15B/TRMT10C/CHD8/TREX1/PRKAA1/PRKDC/POLR2E/ELOC/MSL1/CDK9/RNMT/ILVBL/GTF2E2/HSD17B10/RBBP7/WDR5/BCCIP/RBM15/MORF4L2/SKP1/CDK13/POLE3/MORF4L1/CDK7/RNF20/OSTC/CCNT2/ZC3H13/WDR61/PFKM/MAGT1/STT3B/HCFC1/PRMT1/TAF2/DCAF13/CUL3/XRCC5/RPN2/CDC20/CDK1/TRMT61B/DDB1/RPN1/TUSC3/WDR82/PIK3R4/RING1/POLRMT/DDOST/XRCC6/PHC3/DERL1/GTF2B/SMC5/CUL4A/GTF2F1/MEAF6/MLLT1/VIRMA/GTF2F2/CDC73/CCNL1/NAA50/SPTLC1/POLR3G/CUL4B/CCNT1/SNRPD1/LEO1/MED12/STT3A/DAD1/POLR2A/DMAP1/MLEC/PAF1/TRMT6/POLR3F/PRMT5/HDAC2/RNF40/DERL2/RBBP4/RUVBL2/AUP1/HSD17B12/PRKAR2A/RUVBL1/PIK3C2A/TENT2/CREBBP/MCM3/RNF2/POLR2B/RECQL5/DPM1/OGT/POLG/CUL2/WDR77/MRPS36/POLR1A/RANGAP1/PFKP/OGDH/ENY2/POLR2G/RANBP2/DLST/EP300/RPRD2/PHC2/RPRD1B/DCAF7/ANAPC2/UBE2I	218	go_cc
GO:0071013	GO:0071013	catalytic step 2 spliceosome	75/2519	75/3042	5.90750045192912e-07	6.63116925729043e-05	5.95413861339171e-05	PPIE/ZCCHC8/LSM7/CDC40/CRNKL1/LSM2/HNRNPH1/SNRPE/HNRNPU/MTREX/SYNCRIP/SNRPD2/SNRPB/BUD31/SNRPD3/HNRNPA1/HNRNPF/PPIL2/SRRM1/HNRNPA3/PRPF19/ALYREF/SNRPF/SNRNP200/HNRNPA2B1/LSM3/EFTUD2/SNRNP40/PRPF8/DDX5/HNRNPR/PRPF6/DDX23/SRRM2/RBM22/RBMX/CDC5L/SF3B2/DHX38/SART1/PNN/SRSF1/SNRPA1/PABPC1/SF3B3/DDX41/AQR/BCAS2/SF3B1/SF3B6/SF3A1/HNRNPK/EIF4A3/PRPF4B/XAB2/TFIP11/SF3A2/DHX8/RBM8A/HNRNPM/SF3A3/SNRPB2/PLRG1/FRG1/SNRPD1/ISY1/SLU7/SNW1/CACTIN/PPIL1/DHX35/WDR83/HNRNPC/RALY/PPIL3	75	go_cc
GO:0005694	GO:0005694	chromosome	409/2519	453/3042	9.53506174793721e-07	8.56248544964762e-05	7.68827084096832e-05	TOX4/PPP4R2/NABP1/GPATCH11/TASOR/UXT/WDR43/POLK/SETD1A/EXOSC8/NSMCE4A/NSMCE3/MRGBP/STAG1/TERF2/DSCC1/XRCC4/SMG6/SOX17/MCRS1/FBXO28/ASH2L/KAT2A/SAMD1/PELP1/UTP6/FOXK2/SETX/NSMCE1/CBX8/KAT7/THOC5/PHF2/TRRAP/MCM10/NOC2L/RBM19/CHD3/KLF10/NCAPG/SETD3/SUZ12/WAPL/ZNF385A/CHD4/RAD51C/EXD2/JUN/TOP1MT/CHAF1B/DOT1L/ICE2/XRCC3/NSD2/CENPU/RCC1/ASF1B/HJURP/POLD3/REPIN1/YEATS4/UHRF2/NSL1/TERF2IP/USP7/NBN/KDM1B/DAXX/CCDC137/MED10/KIF18A/EIF3E/ASF1A/THOC7/POLR1G/POLE/CCNB1/DONSON/SP1/PINX1/NABP2/BRPF1/SP2/INIP/H1-0/BRD9/NOP53/RAD21/ZNF830/POLR1B/HNRNPU/NSMCE2/POLE2/CDK2/APC/MRE11/EED/APEX1/WDR76/NOL7/SRPK2/SIRT7/ERCC6/BRCA1/SEPTIN6/BUD31/NCL/PDS5A/ORC6/ZGPAT/LRPPRC/CHTF18/NCAPH2/MLLT3/DYNC1LI2/CHTF8/EXOSC5/RBPJ/BLM/THOC6/MSH2/KIF2C/RFC4/PRPF19/THAP11/RFC1/CKAP5/DNMT1/MPHOSPH8/RXRB/RECQL/RFC5/KNL1/NCAPH/FIZ1/THOC3/ALYREF/FEN1/NAT10/POLD1/KNSTRN/FOXC2/SRPK1/SMC4/SMC2/ESCO2/BOD1L1/HNRNPA2B1/ELOA/SMC1A/EMG1/INCENP/SMC6/RFC3/NONO/TOPBP1/NIFK/KIF4A/SFPQ/GAR1/RECQL4/TOP1/DDX23/DHX9/SAP130/IK/APTX/PARP2/CENPV/TUBG1/PARP1/TGM2/RAD17/POLD2/GTPBP10/CHD8/HELLS/RBMX/NHP2/RBBP6/ATF6/RFC2/TREX1/SEPTIN7/PPP1CC/NOL6/CDCA8/HNRNPL/SEPTIN2/CENPF/PRKDC/CLASP1/PLK1/STAG2/ORC3/EXOSC3/DDX21/RRP1/NFIX/UPF1/PARP9/DHX36/NUSAP1/CLASP2/RBBP7/MPHOSPH10/BHLHE40/PBXIP1/KLF16/MORC2/MORF4L2/BYSL/PPHLN1/BUB3/MCM5/SMC3/POLE3/GNL3/MORF4L1/SF3B1/TRIM56/RRP1B/AFF4/PRC1/WDHD1/MKI67/CGAS/RNF20/ZNF207/HMGB3/TTC37/ZFR/PPP1R10/WDR61/BBX/H1-5/CSNK1A1/KIF22/HNRNPK/RAD51AP1/ZC3H8/AURKB/AKAP8L/H1-1/SIN3A/CDKN2A/EXOSC9/CPSF6/PRPF4B/PHF6/H1-10/XRCC5/PMF1/NCAPG2/NGDN/H1-3/CREB1/XRCC1/CDK1/DDB1/DDX27/THOC2/TFIP11/HMGN2/RPA2/WDR82/EXOSC4/NCAPD3/MSH6/PDS5B/RING1/MYBBP1A/TOP2A/XRCC6/PES1/HMGB2/DYNC1LI1/UFL1/NR3C1/BMS1/PNKP/H1-2/SSB/FOXK1/GTF2B/RPA3/SEH1L/SMC5/PSIP1/MEAF6/SMARCA5/EXOSC10/DDX18/CDC73/CCAR2/TOP3A/NFIB/TCP1/WRN/EBNA1BP2/NFIC/CSNK2A2/FMR1/DEK/RMI2/NDE1/H1-4/TRIM28/JUNB/KLF13/DNTTIP2/RPA1/DNTTIP1/TNKS1BP1/ADD3/SMCHD1/NCAPD2/FOSL1/LEMD2/NUFIP1/POLR2A/DMAP1/DYNLL1/LLPH/PAF1/BOP1/PWP1/EME1/PRMT5/HDAC2/TTK/RNF40/HSPA2/MLH1/RBBP4/PPP1CB/AGO3/RUVBL2/GRWD1/HP1BP3/TSPYL1/HDAC1/NFIA/SMARCAL1/ATR/RUVBL1/PPP1CA/RSL1D1/TOP3B/TMPO/CREBBP/RAD50/HMGN1/HNRNPC/MCM3/PPP2R1A/PITX1/RNF2/NFXL1/HMG20B/MCM7/TPR/SSRP1/THOC1/POLR2B/FTSJ3/RMI1/SAMHD1/SYCE2/RECQL5/ZWINT/HMGA1/CHMP2A/SUPT16H/TCF12/ELL2/POLR1A/RANGAP1/CHD1/KLF4/ESRRA/H3-3A/RCC2/PURA/EP300/QSER1/SUMO1/CHMP4B/SETD2/H4C1/CHMP1A/PAWR/AKAP8/MEF2D/ATF6B/ARPC1A/SREBF2/BRIX1/CCDC86/LMNA/UBE2I/JMJD1C/KDM1A/ANKRD17/PPP1R12A/ETV3/ARPC3/ACTR3/BANF1	409	go_cc
GO:0016607	GO:0016607	nuclear speck	186/2519	198/3042	1.62431706532638e-06	0.000121553060388591	0.000109142708073685	PPIE/SETD1A/EAF1/AKAP17A/NXT1/CDC40/SCAPER/RBM19/MBD4/CRNKL1/DOCK1/PRKACA/NSL1/OGG1/THOC7/PATL1/CBLL1/PIP5K1A/SNRNP70/ZNF830/HNRNPU/WTAP/SAP18/SART3/APEX1/ASCC3/MTREX/SRPK2/SIRT7/NCBP3/CNOT7/THOC6/SRRM1/PRPF4/PRPF31/PRPF19/THOC3/ALYREF/THRAP3/PSPC1/IFI16/SRPK1/SMC4/RBM10/SRSF9/SMU1/GTF2H4/SMC6/BCLAF1/SRSF5/PRPF3/EFTUD2/NONO/SNRNP40/PRPF8/TOE1/SFPQ/CBX4/RBM27/PRPF6/SAP130/IK/CDK12/SRRM2/DHX15/RBM15B/NXF1/RBBP6/PPP1CC/PRKAA1/CDC5L/DDX17/SF3B2/SART1/MSL1/PNN/ASCC1/GTF2E2/SRSF1/SRSF7/DHX36/CKAP4/SNRPA1/DUSP11/RBM15/ZNF638/SRSF10/CDK13/BCAS2/ATXN2L/MORF4L1/SF3B1/CASC3/PHF5A/ZC3H18/SF3A1/ZC3H13/TCERG1/CSNK1A1/KIF22/CLK3/API5/POLDIP3/C12orf57/AKAP8L/EIF4A3/ZNF217/FAM76B/CIR1/CPSF6/SRSF6/PRPF4B/PRPF40A/NCAPG2/RBM25/SREK1/THOC2/ALKBH5/SRSF2/TFIP11/PABPN1/CWC25/SF3A2/CHTOP/RNPS1/PQBP1/RBM8A/SF3A3/RING1/SRSF4/RBM4/SMNDC1/NR3C1/SMC5/SON/SRSF11/ASCC2/ATP6V0A1/VIRMA/DDX42/SNRPB2/CCNL1/RSRC1/WRN/CD2BP2/PLRG1/RMI2/PPIH/HAUS6/SLU7/SNW1/CACTIN/U2AF2/NSRP1/AFDN/ZC3H14/YLPM1/DDX39B/SLC2A4RG/HABP4/PSME4/HP1BP3/REXO4/DNAJC11/TAP2/PCBP1/RBM39/UNC45A/SCNM1/YTHDC1/THOC1/LUC7L3/RBM14/TRIP12/SRSF3/TCF12/EIF4ENIF1/ACIN1/SARNP/SUMO1/TIMM50/DDX46/LUC7L2/LMNA/ERBIN/ARL6IP4	186	go_cc
GO:0005730	GO:0005730	nucleolus	394/2519	440/3042	1.46484149888398e-05	0.00093959118999844	0.000843660592590323	POLR2L/POLR2K/WDR33/WDR43/TSEN15/ZNF346/EXOSC8/NOP10/MUS81/CUTC/TSEN2/ZFP91/LETMD1/SMG6/NOL9/DHX33/MCRS1/PELP1/UTP6/SETX/RPP25/POP5/LAS1L/UTP3/PHF2/MPHOSPH6/MCM10/TUT4/NOC2L/RBM19/CHD3/SNAPC5/SUZ12/ZNF385A/YY1AP1/ABL1/POLR2I/TRAF4/TEX10/PDK3/NSD2/SNAPC3/KRI1/ELP3/TULP3/HJURP/NEPRO/SAPCD2/RIOX1/NBN/RPP14/DAXX/ZCCHC4/CCDC137/EIF3L/EIF3A/POP4/PRKRIP1/POLR1G/IPPK/EEF1E1/RPP38/POP7/TSEN34/NSUN2/POLR1D/PINX1/NOP14/ISG20L2/LSM6/INTS4/GTF3C3/NOP53/POLR1B/ERI1/MAP1S/KNOP1/RPP40/POP1/POLR1E/APEX1/GORAB/POLR1C/MTREX/NOL7/EEF1D/ILF3/DNAJB1/SRPK2/POLR3K/SIRT7/ERCC6/NCL/ILF2/RRN3/ORC6/IMP3/RNF213/KIF2A/WDR18/EXOSC5/RBPJ/SNU13/POLR2H/FCF1/BLM/GEMIN4/RFC1/CKAP5/DGCR8/MPHOSPH8/POLR2F/EXOSC6/SPATS2L/CDK5RAP3/FEN1/RCL1/NAT10/PAK1IP1/PSPC1/IFI16/PA2G4/MED27/MRPS15/ZCCHC17/SMC2/RRP36/SRSF9/WDR46/EMG1/LYAR/WDR74/IMP4/SRSF5/NSUN5/NONO/MRPS9/MARS1/TOE1/DIMT1/NIFK/DDX5/GAR1/TOP1/POLR1F/CC2D1A/DDX23/DDX50/DHX9/APTX/PARP2/PARP1/RAD17/XRN2/DDX28/DHX15/GEMIN2/MRPS31/MRM2/EXOSC7/GTPBP10/NHP2/RBBP6/CDK8/PPP1CC/NOL6/CDCA8/NOP9/DDX17/MTDH/RPP30/PTBP1/WDR36/PRKDC/POLR2E/DDX56/RRP7A/EXOSC3/RNMT/DDX21/RRP1/EWSR1/MRPL40/UTP15/DDX55/TRA2A/MRPS27/NUSAP1/GPATCH4/RPL26/COIL/RPS9/NOL10/MPHOSPH10/DUSP11/DDX47/SF3B3/MORF4L2/BYSL/NOP56/DDX52/PNO1/FBL/DDRGK1/ADARB1/BCAS2/NOL11/GNL3/SF3B1/RRP1B/AFF4/MKI67/GNL3L/ADAR/CDK7/RNF20/RRP9/ZNF207/TSR1/RPS7/RPS6/TCOF1/NOP16/EXOSC2/EIF4A3/GTF3C1/PYM1/HLTF/MAGED2/DCAF13/SIN3A/GTPBP4/EXOSC9/PHF6/RPL23A/EEF1A1/H1-10/MED1/XRCC5/NGDN/SPTY2D1/XRCC1/TMUB1/DDX27/BUD23/RPL35/TFIP11/WDR82/EXOSC4/CHTOP/HNRNPM/RPL7L1/RPS11/SRP68/DKC1/AATF/FAM32A/MYBBP1A/UTP14A/TBL3/RBM4/LARP4B/EDF1/TOP2A/XRCC6/RBM28/PES1/UTP18/FXR1/HMGB2/HEATR1/BMS1/VRK1/PNKP/STAU2/MRPL23/WDR3/DDX31/UTP20/MEAF6/SMARCA5/RPS19/EXOSC10/RPS25/DDX18/MLLT1/SNRPB2/COX7A2L/NFIB/MRTO4/WRN/EBNA1BP2/NFIC/CD2BP2/UPF3B/PLRG1/FMR1/DEK/PWP2/RPS3/FRG1/NF1/GNL2/DNTTIP2/DHX37/DNTTIP1/S100A13/OASL/LEO1/NF2/RRP12/NUFIP1/LLPH/NPM1/HMOX1/RPS10/RPS13/SCD/BOP1/IPO5/PWP1/PODXL/S100A16/UBTF/EME1/MDN1/SCAF11/ZC3H14/DROSHA/PPP1CB/HABP4/GRWD1/RPL19/TMA16/DDX24/TSPYL1/MYO10/REXO4/GLE1/PPP1CA/NOLC1/RSL1D1/EIF6/RPS14/HSPA8/RPS3A/CHCHD1/ACADVL/PIMREG/RPL11/DNAJC21/RPL23/ITPR3/SSRP1/FTSJ3/TENT4A/RBM14/HSPA9/CUL2/NOP58/ITPR1/CDKN2AIP/AGPS/RBIS/ZNF593/POLR1A/CLN6/ESRRA/RCC2/EZR/RPS19BP1/CEP85/SUMO1/PHF8/AKAP8/TRIM27/NPM3/WDR75/NOC4L/BRIX1/DDX46/SUB1/NUP153/CCDC86/SPTBN1/RIOX2/SDAD1/RAE1/PEX14/KRT18/GPRC5A/RAI14/PPP1R12A/ARL6IP4	394	go_cc
GO:0005684	GO:0005684	U2-type spliceosomal complex	72/2519	74/3042	0.000100411395427278	0.00563558956835595	0.00506020584850623	PPIE/LSM7/BUD13/CDC40/TXNL4A/CRNKL1/CCDC12/LSM2/LSM4/SNRNP70/LSM6/SNRPE/SNRPD2/SNRPB/BUD31/SNRPD3/LSM8/SNU13/PRPF4/PRPF31/PRPF19/SNRPF/DHX16/SNRNP200/SMU1/LSM3/PRPF3/EFTUD2/SNRNP40/PRPF8/PRPF6/IK/SRRM2/RBM22/SNRPC/CDC5L/SF3B2/SART1/SF3B4/SNRPA1/SF3B3/AQR/BCAS2/SF3B1/SF3B6/CASC3/PHF5A/SF3A1/RBMX2/SNIP1/EIF4A3/SF3B5/PRPF40A/XAB2/TFIP11/CWC25/SF3A2/DHX8/RBM8A/SF3A3/SNRPB2/PLRG1/SNRPD1/ISY1/SNW1/U2AF2/PPIL1/LUC7L/LUC7L3/ZMAT2/LUC7L2/MFAP1	72	go_cc
GO:0034708	GO:0034708	methyltransferase complex	45/2519	45/3042	0.000192060626715562	0.00958169126614303	0.00860341754760937	SETD1A/METTL14/TRMT61A/MCRS1/ASH2L/PELP1/LAS1L/SUZ12/TEX10/NCOA6/RAMAC/CBLL1/SNRPE/WTAP/EED/SNRPD2/SNRPB/SNRPD3/PRPF31/SNRPF/BOD1L1/ERH/RBM15B/TRMT10C/CHD8/RNMT/HSD17B10/RBBP7/WDR5/RBM15/ZC3H13/HCFC1/PRMT1/TRMT61B/WDR82/VIRMA/SNRPD1/TRMT6/PRMT5/HDAC2/RBBP4/RUVBL2/RUVBL1/RNF2/WDR77	45	go_cc
GO:0030684	GO:0030684	preribosome	54/2519	55/3042	0.000356402859164062	0.0154544234902571	0.0138765542064669	UTP6/LAS1L/UTP3/NOC2L/KRI1/NOP14/IMP3/SNU13/FCF1/RIOK2/RRP36/WDR46/EMG1/WDR74/IMP4/NOL6/NOP9/WDR36/PRKDC/RRP7A/RRP1/NOL10/MPHOSPH10/BYSL/NOP56/FBL/RRP1B/RRP9/TSR1/RPS7/DCAF13/XRCC5/NOB1/NGDN/UTP14A/TBL3/PES1/UTP18/HEATR1/BMS1/WDR3/UTP20/MRTO4/EBNA1BP2/RRP15/PWP2/BOP1/SRFBP1/MDN1/RSL1D1/EIF6/FTSJ3/NOP58/NOC4L	54	go_cc
