ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0051085	GO:0051085	chaperone cofactor-dependent protein refolding	1/1	14/2929	0.00477978832365988	0.0212814384886762	0.00407300258156482	DNAJB4	1	go_bp
GO:0051084	GO:0051084	'de novo' post-translational protein folding	1/1	15/2929	0.00512120177535003	0.0212814384886762	0.00407300258156482	DNAJB4	1	go_bp
GO:0006458	GO:0006458	'de novo' protein folding	1/1	17/2929	0.00580402867872987	0.0212814384886762	0.00407300258156482	DNAJB4	1	go_bp
GO:0061077	GO:0061077	chaperone-mediated protein folding	1/1	29/2929	0.00990099009900991	0.0244110617958348	0.00467197354944207	DNAJB4	1	go_bp
GO:0009408	GO:0009408	response to heat	1/1	41/2929	0.0139979515192898	0.0244110617958348	0.00467197354944207	DNAJB4	1	go_bp
GO:0006986	GO:0006986	response to unfolded protein	1/1	47/2929	0.0160464322294298	0.0244110617958348	0.00467197354944207	DNAJB4	1	go_bp
GO:0009266	GO:0009266	response to temperature stimulus	1/1	48/2929	0.0163878456811198	0.0244110617958348	0.00467197354944207	DNAJB4	1	go_bp
GO:0035966	GO:0035966	response to topologically incorrect protein	1/1	52/2929	0.0177534994878799	0.0244110617958348	0.00467197354944207	DNAJB4	1	go_bp
GO:0006457	GO:0006457	protein folding	1/1	77/2929	0.0262888357801294	0.0321307992868248	0.00614943527020571	DNAJB4	1	go_bp
GO:0009628	GO:0009628	response to abiotic stimulus	1/1	202/2929	0.0689655172413793	0.0758620689655173	0.014519056261343	DNAJB4	1	go_bp
GO:0010033	GO:0010033	response to organic substance	1/1	492/2929	0.167975418231478	0.167975418231478	0.0321484054031538	DNAJB4	1	go_bp
GO:0001671	GO:0001671	ATPase activator activity	1/1	14/3001	0.00466511162945682	0.011662779073642	0.00245532191024043	DNAJB4	1	go_mf
GO:0140677	GO:0140677	molecular function activator activity	1/1	14/3001	0.00466511162945682	0.011662779073642	0.00245532191024043	DNAJB4	1	go_mf
GO:0051087	GO:0051087	chaperone binding	1/1	29/3001	0.00966344551816045	0.0161057425302674	0.00339068263795104	DNAJB4	1	go_mf
GO:0051082	GO:0051082	unfolded protein binding	1/1	48/3001	0.0159946684438521	0.0199933355548151	0.00420912327469792	DNAJB4	1	go_mf
GO:0098772	GO:0098772	molecular function regulator activity	1/1	265/3001	0.0883038987004331	0.0883038987004331	0.0185902944632491	DNAJB4	1	go_mf
