component	stdv	percent	cumulative
PC1	50.7512195197851	78.17	0.7817
PC2	12.8453604239141	5.01	0.83177
PC3	10.2055894919723	3.16	0.86338
PC4	9.49474671598507	2.74	0.89074
PC5	9.3502094883616	2.65	0.91727
PC6	8.70803536372739	2.3	0.94029
PC7	6.12492008019943	1.14	0.95167
PC8	5.11260002902889	0.79	0.95961
PC9	4.54437512792829	0.63	0.96587
PC10	4.4275988973946	0.6	0.97182
PC11	4.02745431418214	0.49	0.97675
PC12	3.91885580225155	0.47	0.98141
PC13	3.73025736661119	0.42	0.98563
PC14	3.58447541217561	0.39	0.98953
PC15	3.47954049600102	0.37	0.9932
PC16	3.43880928919171	0.36	0.99679
PC17	3.25082244878671	0.32	1
PC18	3.18487463200197e-14	0	1
