Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q14241	ELOA	3.66594556718544e-13	32367.8815104167	1191.31526692708	4.76272528108726	5.82335453347407e-10
Q68D10	SPTY2D1	3.50877415666937e-13	16980.0336914063	1373.46815999349	3.62689392961132	5.82335453347407e-10
P83881	RPL36A	5.64657214212378e-13	131788.33203125	8984.46907552084	3.87448501595054	5.97971989850908e-10
O60870	KIN	2.17326975697207e-12	18839.4560546875	1313.91748046875	3.84071314202489	1.72611950447506e-09
Q8WY22	BRI3BP	3.23711240080192e-12	10535.4633789063	285.551157633464	5.20031723446932	2.05686121946954e-09
Q14CZ7	FASTKD3	4.0483119944095e-12	23268.8291015625	1353.37903849284	4.1026951602041	2.14358120103983e-09
Q9Y3C6	PPIL1	5.59042268888543e-12	22708.8391927083	3076.87418619792	2.88324779656026	2.53725326894129e-09
O75821	EIF3G	8.35214630126409e-12	187077.908854167	6853.75541178386	4.77039020802939	2.59740508500471e-09
Q8IWS0	PHF6	9.8064300950061e-12	37497.6276041667	2953.3144938151	3.66590400450863	2.59740508500471e-09
Q8NEY1	NAV1	6.67675134481348e-12	27893.4264322917	2366.63199869792	3.55840840085139	2.59740508500471e-09
Q9NWH9	SLTM	9.20910000970113e-12	7675.34757486979	292.598876953125	4.70831372895446	2.59740508500471e-09
Q9NXE8	CWC25	1.06283494192827e-11	26131.0970052083	2283.16975911458	3.5160259108161	2.59740508500471e-09
Q9UJV9	DDX41	1.00844700786859e-11	10767.2687174479	652.250574747721	4.04287203551237	2.59740508500471e-09
P62995	TRA2B	1.47486284416468e-11	51474.9192708333	2945.41748046875	4.12683589555982	3.34688518279371e-09
Q9Y3D7	PAM16	1.62950578277923e-11	5309.01163736979	461.78146870931	3.52004030339248	3.45129324792642e-09
Q15428	SF3A2	2.03080452204166e-11	23378.6477864583	2044.49691772461	3.51466821885878	3.89750210448636e-09
Q9Y580	RBM7	2.08553779591653e-11	11340.8046875	895.508626302083	3.66106173527612	3.89750210448636e-09
Q15459	SF3A1	2.75781998289435e-11	52374.7220052083	3643.68212890625	3.84500578084162	4.86755226980854e-09
Q12872	SFSWAP	4.08030147369871e-11	13655.4653320313	1275.73947143555	3.41894241000021	6.82269356944253e-09
Q9BQ15	NABP2	5.58978865610668e-11	11284.2672526042	140.33647664388	6.31903507966354	8.87937928022546e-09
O95786	DDX58	6.98726350355065e-11	9944.83837890625	207.613688151042	5.57504219665926	9.65153745686105e-09
P62854	RPS26	6.88954032682603e-11	333128.109375	34719.5149739583	3.26221684278827	9.65153745686105e-09
Q9NPD3	EXOSC4	6.62283020073872e-11	12628.2233072917	1102.90214029948	3.51596748786011	9.65153745686105e-09
P51116	FXR2	7.79714570231537e-11	393602.848958333	46060.419921875	3.09510987269936	9.65169870528229e-09
Q8N9N2	ASCC1	7.83969435460181e-11	27830.1341145833	1439.90938313802	4.27159634677568	9.65169870528229e-09
Q9H7E2	TDRD3	7.89877766249102e-11	18770.2259114583	1523.67993164063	3.62186769212707	9.65169870528229e-09
O00178	GTPBP1	8.29121335536113e-11	3687.4355061849	75.9053675333659	5.58338971323721	9.75599438147493e-09
O60333	KIF1B	8.94655934977249e-11	11879.3831380208	897.553848266602	3.72471114915772	1.00360292158198e-08
Q9UQE7	SMC3	9.16099613656827e-11	29933.5296223958	1883.92180379232	3.98918582527547	1.00360292158198e-08
P52815	MRPL12	1.13601917016984e-10	51343.484375	3337.51623535156	3.94290224506359	1.16423642052567e-08
Q15717	ELAVL1	1.11619000383612e-10	89888.4114583333	7043.74690755208	3.67351535170572	1.16423642052567e-08
Q6PGP7	TTC37	1.40719133924936e-10	17624.7438151042	1217.70091756185	3.85418626585502	1.3970771514985e-08
P52756	RBM5	1.70795752323178e-10	15869.0218098958	667.827479044596	4.56843526848126	1.6323978480766e-08
P62851	RPS25	1.79836086505134e-10	1528019.10416667	169595.171875	3.17148707001593	1.6323978480766e-08
Q9Y676	MRPS18B	1.75204897489746e-10	25758.9055989583	2682.33036295573	3.26297470936166	1.6323978480766e-08
Q96J01	THOC3	1.91603008711906e-10	9037.64575195313	285.309107462565	4.98030154073084	1.69089655188257e-08
O95777	LSM8	2.15750313275118e-10	13452.1671549479	368.37158203125	5.18662192519446	1.73611256338014e-08
Q7Z6E9	RBBP6	2.2935185617817e-10	26602.3841145833	1231.13797505697	4.43231982286295	1.73611256338014e-08
Q8N684	CPSF7	2.13097732042268e-10	269084.359375	24851.5987955729	3.436589911201	1.73611256338014e-08
Q9ULG6	CCPG1	2.17559431996374e-10	16103.6337890625	2167.15134684245	2.89284889757165	1.73611256338014e-08
Q9Y2R4	DDX52	2.22713727119378e-10	8632.74283854167	532.844121297201	4.01532856079447	1.73611256338014e-08
Q9Y520	PRRC2C	2.29514408756581e-10	180936.703125	26827.9563802083	2.75362224785317	1.73611256338014e-08
Q6UN15	FIP1L1	2.35233130641689e-10	26242.8421223958	1911.44615681966	3.77843293780804	1.73798989778755e-08
O75533	SF3B1	2.56093035766347e-10	110089.102864583	7136.04007975261	3.94720198672145	1.76871211876018e-08
Q15637	SF1	2.56092398063137e-10	57717.9752604167	4010.99243164063	3.84662990163327	1.76871211876018e-08
Q9BTC0	DIDO1	2.47152183300509e-10	4079.26765950521	378.525293986003	3.42604222773464	1.76871211876018e-08
Q14966	ZNF638	2.66241648817012e-10	13183.8564453125	800.15299987793	4.04055084139923	1.79968025168436e-08
Q99417	MYCBP	2.75033615246023e-10	16185.1075846354	610.968694051107	4.72506529303268	1.82037874090961e-08
Q9UPT8	ZC3H4	2.89365160743855e-10	17650.2521158854	989.414059956868	4.15551318559553	1.87614921568005e-08
P56192	MARS1	3.10556988431004e-10	55927.798828125	2256.71154785156	4.63063247088125	1.9732791044906e-08
Q5SW79	CEP170	3.43847598101985e-10	10471.974609375	880.101821899414	3.57108094465691	2.14196827288237e-08
Q8IWC1	MAP7D3	3.74264070626253e-10	11983.4819335938	741.424530029297	4.01265897133524	2.28660952380694e-08
Q9H0J9	PARP12	4.0457612596871e-10	27184.3880208333	1183.54459635417	4.52037393027638	2.42516670226904e-08
Q16630	CPSF6	4.3050311665632e-10	147848.109375	11542.1888834635	3.67900205659123	2.48674254839478e-08
Q9NX95	SYBU	4.23901354572857e-10	2655.40930175781	55.9377288818359	5.54340549494868	2.48674254839478e-08
O14735	CDIPT	4.42274389405334e-10	12795.7299804687	1379.01235961914	3.21290936049195	2.49251330008887e-08
Q9Y5Q9	GTF3C3	4.47193132216134e-10	8554.80997721354	127.064514160156	6.06179313456263	2.49251330008887e-08
Q86SX3	TEDC1	4.83913055883782e-10	7125.57389322917	191.664381345113	5.20884442895845	2.65067548024616e-08
Q16795	NDUFA9	5.1305338239949e-10	38641.2154947917	4723.50162760417	3.03190641894117	2.76266202692064e-08
Q9UDY2	TJP2	5.24986255308486e-10	8612.14363606771	738.722971598307	3.54131539791605	2.77980222185843e-08
O75477	ERLIN1	5.38415451590063e-10	17071.9332682292	1750.06553141276	3.28532146106369	2.80417358967481e-08
Q12874	SF3A3	5.80107705559495e-10	19525.3831380208	1770.41090901693	3.46238004423645	2.97258416219761e-08
Q6P1J9	CDC73	5.97324593390063e-10	33947.810546875	3853.45544433594	3.13871957494923	3.01222259238132e-08
Q14671	PUM1	6.5396635357436e-10	88992.09375	12279.5548502604	2.85730142474549	3.19638631585499e-08
Q9BYJ9	YTHDF1	6.44583580888364e-10	55011.9231770833	10347.319905599	2.41034778047123	3.19638631585499e-08
P06746	POLB	6.70064820607292e-10	8690.77791341146	279.860458374023	4.95155988823814	3.21735845684107e-08
P60866	RPS20	6.78511226340422e-10	427886.140625	74511.4850260417	2.52167286695783	3.21735845684107e-08
P57772	EEFSEC	7.00884296460014e-10	15212.2239583333	922.810859680176	4.04148976813572	3.27457266154921e-08
Q13573	SNW1	7.35302964370248e-10	48819.4563802083	6222.00410970052	2.971773126251	3.38559060551345e-08
Q13888;Q6P1K8	GTF2H2;GTF2H2C	7.56977485649447e-10	15708.7581380208	539.874496459961	4.86013144956138	3.43559638844042e-08
Q9H8V3	ECT2	7.79977012115858e-10	37333.9967447917	3653.78489176432	3.35263156118476	3.49012248942547e-08
P31689	DNAJA1	8.06918984942673e-10	61426.3059895833	5134.89176432292	3.58016992216179	3.51175563720941e-08
Q9BRZ2	TRIM56	7.97373516805516e-10	9863.80159505208	639.254364013672	3.9454266945465	3.51175563720941e-08
P78332	RBM6	8.56295532194707e-10	11076.2081705729	1490.86702473958	2.8922732196004	3.67628500781431e-08
P08670	VIM	9.45244752348825e-10	1091835.05208333	215408.3359375	2.34160223557037	3.82317364544192e-08
P11388	TOP2A	9.50678999023959e-10	4957.25024414063	468.300470987956	3.40095627515523	3.82317364544192e-08
Q9NQT5	EXOSC3	9.116913247199e-10	12155.6158854167	630.89631652832	4.26579132562012	3.82317364544192e-08
Q9NSI2	FAM207A	9.32613903825018e-10	10782.3802083333	1543.75333658854	2.80322729319207	3.82317364544192e-08
Q9NZ01	TECR	9.4757367557696e-10	117789.778645833	14779.8893229167	2.99440937299518	3.82317364544192e-08
Q01780	EXOSC10	1.1043176093621e-09	5680.85286458333	626.190790812175	3.17913125602938	4.38552130617923e-08
P27694	RPA1	1.20827374789413e-09	54811.4602864583	6752.86067708333	3.02069324752985	4.46358801983681e-08
P62266	RPS23	1.18803355551759e-09	641670.583333333	78888.9401041667	3.02391959866817	4.46358801983681e-08
Q9BZI7	UPF3B	1.16925849904461e-09	32384.947265625	3824.30700683594	3.08167595122769	4.46358801983681e-08
Q9HCE1	MOV10	1.19670153721025e-09	21811.7109375	1964.30900065104	3.47227487440811	4.46358801983681e-08
Q9UKJ3	GPATCH8	1.16262942570703e-09	10963.6971028646	1199.09810384115	3.19151012502319	4.46358801983681e-08
Q9Y2X9	ZNF281	1.18033460164183e-09	8280.27872721354	959.670003255208	3.10756648637475	4.46358801983681e-08
P83731	RPL24	1.25521508144267e-09	243440.760416667	29311.6438802083	3.05397574122254	4.58369921119926e-08
Q86U42	PABPN1	1.27117193367149e-09	86688.046875	7531.28625488281	3.52467334488199	4.58921958326627e-08
Q9UHX1	PUF60	1.33243476019556e-09	87232.9309895833	10748.1317545573	3.02065273150402	4.75634295858571e-08
O95985	TOP3B	1.37634664975926e-09	23888.9700520833	4220.00089518229	2.50068761447735	4.85850367365019e-08
Q9Y6X9	MORC2	1.4178128094075e-09	6629.20694986979	398.860883076986	4.05126623186435	4.9498805444919e-08
P56270	MAZ	1.62416723117508e-09	19574.4609375	793.351114908854	4.62305192652347	5.45015897052645e-08
Q8WW12	PCNP	1.62596701596106e-09	11263.8356119792	338.510930379232	5.05209635182302	5.45015897052645e-08
Q92769	HDAC2	1.58420268305068e-09	11271.2931315104	1642.234375	2.77804287024928	5.45015897052645e-08
Q9NYZ3	GTSE1	1.62972962606236e-09	13667.8258463542	1041.12829589844	3.71317896723107	5.45015897052645e-08
P15407	FOSL1	1.70681218468543e-09	4784.91813151042	613.387919108073	2.96127248754041	5.64848157369334e-08
Q8TER5	ARHGEF40	1.7613996929774e-09	2775.18176269531	55.0281422932943	5.63028679637391	5.66697970331629e-08
Q9HBD1	RC3H2	1.76591435514105e-09	6147.97639973958	608.902943929037	3.33346004220959	5.66697970331629e-08
Q9NRP0	OSTC	1.7315194552532e-09	25363.1129557292	1730.56563313802	3.87258284882799	5.66697970331629e-08
Q03001	DST	1.85880936075013e-09	28907.724609375	4545.63793945313	2.66858302735309	5.90543733910315e-08
P08727	KRT19	1.94496765556139e-09	704525.739583333	261798.0390625	1.42819261396135	6.11507485009408e-08
Q01130	SRSF2	1.96329126443058e-09	218369.036458333	18722.9446614583	3.5438119930474	6.11507485009408e-08
P49454	CENPF	2.00348638412224e-09	4431.92643229167	221.636690775553	4.31517065844552	6.17968567219065e-08
Q9BQ39	DDX50	2.02538376503577e-09	12942.4233398438	549.559366861979	4.55506582456988	6.18715790530639e-08
Q15424	SAFB	2.06735063538998e-09	7134.10799153646	262.002746582031	4.7615832835428	6.25521235107996e-08
Q9H9J2	MRPL44	2.25726515417993e-09	14446.2669270833	528.795397440592	4.76911761207688	6.76540697625438e-08
Q12788	TBL3	2.30145120583928e-09	11687.6217447917	1092.1846110026	3.4183724318977	6.83337428126298e-08
O00443	PIK3C2A	2.47875301915371e-09	8217.32169596354	1430.78004964193	2.52085836474004	7.00436272709458e-08
O95816	BAG2	2.42966323238824e-09	18870.8538411458	2378.71319580078	2.987300086587	7.00436272709458e-08
Q5JSZ5	PRRC2B	2.40731784492273e-09	66816.9264322917	9755.00968424479	2.77585052513276	7.00436272709458e-08
Q6P6C2	ALKBH5	2.46093085089455e-09	23683.0611979167	2023.85596720378	3.54796437679029	7.00436272709458e-08
Q96GD4	AURKB	2.40192195829819e-09	11827.4967447917	857.702003479004	3.78384339576119	7.00436272709458e-08
Q9UKV8	AGO2	2.49132196462602e-09	44551.412109375	5879.302734375	2.92150882433885	7.00436272709458e-08
Q9UBV7	B4GALT7	2.6259333150495e-09	7376.62646484375	182.266764322917	5.33094410279063	7.3180615279932e-08
P62263	RPS14	2.75720046340289e-09	537861.427083333	97052.2311197917	2.47038637986214	7.61706597585302e-08
Q00059	TFAM	2.98572293697408e-09	96417.5677083333	22117.3450520833	2.12405259215016	8.10738612886038e-08
Q96C57	CUSTOS	2.96800354963116e-09	13174.603515625	1206.19030761719	3.4480345122759	8.10738612886038e-08
P25054	APC	3.03738137329196e-09	3266.36596679688	58.8231252034505	5.77083935081435	8.17776323978691e-08
Q99873	PRMT1	3.0673159831036e-09	33264.4358723958	2411.51253255208	3.78537222539008	8.18896040194968e-08
Q9Y324	FCF1	3.22949352561061e-09	7822.15454101563	219.317362467448	5.14991094088354	8.5500841090541e-08
Q8TB61	SLC35B2	3.34544112035117e-09	4674.43977864583	459.22146097819	3.3443933057422	8.78385656145097e-08
O15533	TAPBP	3.45354071809434e-09	16663.9073893229	2215.31168619792	2.9104940355855	8.99335972244732e-08
P60468	SEC61B	3.52619061879919e-09	112536.798177083	14300.9108072917	2.97611700616728	9.10789235441058e-08
O15258	RER1	3.5666328493927e-09	15346.8631184896	1575.17555745443	3.28344366149418	9.13805851816178e-08
Q8N201	INTS1	3.6047769605972e-09	11753.0362955729	1115.1474202474	3.39643401738954	9.16190112305383e-08
P08579	SNRPB2	3.68715581226825e-09	16345.9645182292	1848.88633219401	3.14342597702871	9.2969000123621e-08
P62277	RPS13	3.7387656534562e-09	658879.166666667	91089.2513020833	2.85464534369437	9.3524159212524e-08
Q15287	RNPS1	3.76804922228614e-09	24439.2350260417	2148.63305664062	3.50703681074781	9.3524159212524e-08
P61619	SEC61A1	3.80740613696464e-09	62646.9173177083	6297.18473307292	3.31423554111582	9.376844416385e-08
P11717	IGF2R	3.91952119647419e-09	19659.5973307292	1318.89125569661	3.89674279497035	9.57870680092193e-08
Q14151	SAFB2	4.12076350678368e-09	11319.9301757813	810.848810831706	3.80151016718241	9.76989974705354e-08
Q92576	PHF3	4.03496368020463e-09	4937.92594401042	171.86631266276	4.83617654382037	9.76989974705354e-08
Q99735	MGST2	4.10981698080878e-09	67844.5130208333	9476.57706705729	2.83964195339647	9.76989974705354e-08
Q9UPY5	SLC7A11	4.08125790580467e-09	9096.29231770833	1273.44370524089	2.8354109692991	9.76989974705354e-08
Q96QE5	TEFM	4.28145085747357e-09	10880.6720377604	523.814196268717	4.37381711074528	1.00413468081376e-07
Q99549	MPHOSPH8	4.29846762954586e-09	3866.78344726563	118.333770751953	5.01805969086457	1.00413468081376e-07
O95900	TRUB2	4.49138013599687e-09	11335.4256184896	721.611307779948	3.97147492071147	1.03427841122127e-07
Q9BSD7	NTPCR	4.52517151903544e-09	53166.1471354167	6982.67150878906	2.92845031485883	1.03427841122127e-07
Q9HCK8	CHD8	4.49370567894733e-09	7973.31551106771	363.725072224935	4.45029847583652	1.03427841122127e-07
P39019	RPS19	4.93894732793241e-09	748264.625	82534.0325520833	3.18047005567347	1.11139032551082e-07
Q14527	HLTF	4.93310298355169e-09	10038.1241861979	756.862859090169	3.72740908369347	1.11139032551082e-07
Q86TG7	PEG10	4.96749846466906e-09	12861.2473958333	805.559127807617	3.99510646499467	1.11139032551082e-07
Q3KQU3	MAP7D1	5.01725429666622e-09	5167.4619140625	545.476129492124	3.24122546621067	1.11467251052507e-07
Q13547	HDAC1	5.06305231178903e-09	6723.50065104167	1079.62780761719	2.63734286856905	1.11703591628845e-07
Q96TA2	YME1L1	5.10850474646914e-09	18371.1645507813	1203.90852864583	3.9304475493306	1.119291005485e-07
P11142	HSPA8	5.2016752781091e-09	181049.036458333	33508.9404296875	2.4337194718303	1.12827582308843e-07
Q12772	SREBF2	5.22053969134399e-09	9964.04703776042	3358.40096028646	1.56852783391546	1.12827582308843e-07
O75586	MED6	5.42366389354784e-09	5223.81713867188	223.498591105143	4.54032609965586	1.15644162347661e-07
Q14331	FRG1	5.39380155342342e-09	89280.7434895833	10874.7052408854	3.03724008500656	1.15644162347661e-07
Q7L2E3	DHX30	5.65816345318358e-09	112750.248697917	21612.5843098958	2.38312036780292	1.19839901938428e-07
Q9BZE1	MRPL37	5.80769870905151e-09	5735.37931315104	747.728337605794	2.93737463979219	1.2219244237521e-07
P62269	RPS18	6.13158783151637e-09	1284589.45833333	222257.28125	2.53099828310559	1.28158253557418e-07
Q9BVV7	TIMM21	6.34754261544779e-09	3682.69970703125	190.22775777181	4.26739990363786	1.31804855485475e-07
P23396	RPS3	6.76138850854254e-09	1419253.35416667	172185.587239583	3.04308748008796	1.39486566828829e-07
P51825	AFF1	6.96232783982791e-09	5817.90690104167	715.427530924479	3.02160752693342	1.40988437765599e-07
Q96C36	PYCR2	6.96644212705191e-09	130474.571614583	6226.82885742188	4.38889555568414	1.40988437765599e-07
Q96G46	DUS3L	6.96732286093771e-09	31844.3225911458	1374.17195638021	4.53335224780184	1.40988437765599e-07
Q8TED1	GPX8	7.02122559620811e-09	36727.7600911458	5051.53983561198	2.86179021702043	1.41179960247805e-07
Q9Y450	HBS1L	7.12136181323372e-09	9736.76220703125	431.703501383464	4.49199140857827	1.42292870947444e-07
Q02539	H1-1	7.22473134136678e-09	3734.30419921875	274.009376525879	3.76328674166856	1.43456071697014e-07
Q3B7T1	EDRF1	7.37268212671165e-09	8796.83723958334	240.304936726888	5.18805558304226	1.45484541096664e-07
P63208	SKP1	8.00515317672907e-09	16265.9931640625	1005.62808227539	4.01425625668542	1.56026819892443e-07
Q96GQ7	DDX27	8.00458289925625e-09	7750.17976888021	658.000254313151	3.5558788476377	1.56026819892443e-07
Q53HL2	CDCA8	8.19609271505404e-09	9486.39501953125	455.877436319987	4.37598084497269	1.58774308266626e-07
P63167	DYNLL1	8.35192932977732e-09	25177.4967447917	3420.140625	2.87958553922864	1.60516804168605e-07
Q9H944	MED20	8.38709143594223e-09	7988.89501953125	374.398473103841	4.4115012839538	1.60516804168605e-07
Q00325	SLC25A3	8.65742989414133e-09	175137.505208333	29656.7555338542	2.56200674050539	1.64698531578964e-07
Q6PML9	SLC30A9	8.81811772723188e-09	2924.62508138021	64.6177113850911	5.47802260544682	1.66756904877474e-07
P35610	SOAT1	9.25568053581059e-09	9011.64575195313	672.460105895996	3.74212621064516	1.73995840605149e-07
P82912	MRPS11	1.00822812757216e-08	26170.4609375	1603.55805460612	4.02769144073365	1.87318173175248e-07
Q9Y5A9	YTHDF2	1.00261715923415e-08	45446.3411458333	9770.21858723958	2.21755374892674	1.87318173175248e-07
A8CG34	POM121C	1.01885950824712e-08	7610.75805664063	1454.66585286458	2.38636093423033	1.88192828936111e-07
O43678	NDUFA2	1.05553915228433e-08	8113.83626302083	322.911209106445	4.64671389001417	1.91625593531846e-07
P29084	GTF2E2	1.05160795091776e-08	5007.11897786458	268.270177205404	4.21685437746473	1.91625593531846e-07
Q14739	LBR	1.0447235251925e-08	28326.7864583333	3937.08707682292	2.84660002719569	1.91625593531846e-07
Q14978	NOLC1	1.12085269928747e-08	23655.1409505208	4139.3994140625	2.51431190449379	2.01183560770412e-07
Q8TB72	PUM2	1.1145979691182e-08	28882.197265625	3656.33874511719	2.98131434070341	2.01183560770412e-07
Q86VI3	IQGAP3	1.15102486053411e-08	3996.67781575521	206.523788452148	4.26745265026427	2.05438538309936e-07
P12236	SLC25A6	1.17640821900985e-08	580829.364583333	124578.709635417	2.22104527752557	2.0879602859186e-07
P05141	SLC25A5	1.19924281086798e-08	499242.510416667	121676.983072917	2.036672640328	2.10574549646613e-07
Q9BSC4	NOL10	1.20853224027827e-08	8121.685546875	464.631622314453	4.12451822644069	2.10574549646613e-07
Q9NTI5	PDS5B	1.20409562727334e-08	12699.9469401042	1142.56444295247	3.47321289656038	2.10574549646613e-07
Q9UJK0	TSR3	1.21294122081619e-08	10927.7475585938	1090.44165547689	3.32368914524817	2.10574549646613e-07
Q5T200	ZC3H13	1.27933093387037e-08	30154.5830078125	2100.08117675781	3.84317347730566	2.20893172657943e-07
Q00688	FKBP3	1.29538464995377e-08	46707.9088541667	3708.10752360026	3.65452286015918	2.21232293696212e-07
Q9BVJ6	UTP14A	1.30218567583228e-08	5310.49674479167	490.887142181397	3.43244756834237	2.21232293696212e-07
Q9NVA2	SEPTIN11	1.29033398753807e-08	10428.0299479167	803.317512512207	3.69655768862061	2.21232293696212e-07
Q6PL18;Q9ULI0	ATAD2;ATAD2B	1.33130744373467e-08	10958.8141276042	1136.14047749837	3.26860929543544	2.23120264256651e-07
Q92616	GCN1	1.32503395713066e-08	20362.0582682292	2261.67266845703	3.16978360539854	2.23120264256651e-07
Q96QC0	PPP1R10	1.33436733423871e-08	13845.2203776042	960.730265299479	3.84761188664584	2.23120264256651e-07
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	H2AC4;H2AC11;H2AC7;H2AC20;H2AC18;H2AW;H2AC6;H2AC12;H2AC14;H2AJ	1.35886042313376e-08	106925.341145833	16232.8987630208	2.71952238323877	2.26026155198741e-07
P17096	HMGA1	1.37001329395637e-08	45280.0110677083	10175.1970214844	2.15367580276212	2.26427717886735e-07
P61221	ABCE1	1.37552878665848e-08	5359.76057942708	531.115445454915	3.33235737127167	2.26427717886735e-07
Q15404	RSU1	1.38775649907147e-08	13413.9303385417	1190.29208374023	3.49313292997347	2.27263010182993e-07
Q9H0U6	MRPL18	1.41790770583331e-08	13525.5870768229	967.263381958008	3.80414786995876	2.31009886227303e-07
Q13619	CUL4A	1.42792377096819e-08	3862.49865722656	408.943166097005	3.23603861583352	2.31454786753364e-07
P51571	SSR4	1.49497961195114e-08	86233.2057291667	8438.52416992188	3.35300994782019	2.41093920160851e-07
Q99958	FOXC2	1.55022560976493e-08	6378.50398763021	215.425689697266	4.88127443228278	2.48740745566827e-07
Q3MIP1	ITPRIPL2	1.56033935979169e-08	4646.59041341146	127.67822265625	5.17433266070123	2.49105434475287e-07
Q9NUL3	STAU2	1.61319904511701e-08	11380.5079752604	1159.08358256022	3.29426429600199	2.5498175951924e-07
Q9Y5B6	PAXBP1	1.60980049486312e-08	5771.73828125	634.367472330729	3.18334274427582	2.5498175951924e-07
Q6P158	DHX57	1.64663014952775e-08	12677.6549479167	365.533665974935	5.11219838166547	2.58977425002459e-07
Q8NDV7	TNRC6A	1.66394896505942e-08	7921.82389322917	1552.90234375	2.34993679038839	2.60412111428264e-07
O75122	CLASP2	1.70439170684118e-08	17016.8774414063	938.621368408203	4.17874299701536	2.6543394375659e-07
Q9BVS4	RIOK2	1.71905050605166e-08	3554.88403320313	106.698791503906	5.04472853077242	2.66410900376884e-07
Q6P2C8	MED27	1.73282321392861e-08	2891.83854166667	97.181401570638	4.88039343338207	2.67241716051029e-07
Q9H2W6	MRPL46	1.75781416560819e-08	8038.53352864583	390.249307910601	4.36077222910446	2.68489211737366e-07
Q9NRX2	MRPL17	1.75641927921575e-08	21448.9091796875	1456.42569986979	3.87941003765263	2.68489211737366e-07
P62314	SNRPD1	1.78456235609738e-08	143911.70703125	17624.9034830729	3.02941484285816	2.70650847003183e-07
Q9BXP5	SRRT	1.78900465441198e-08	30192.4635416667	4184.73779296875	2.85063463292377	2.70650847003183e-07
O94766	B3GAT3	1.83349751340892e-08	24300.2125651042	1778.36533610026	3.77153427611183	2.74166941361581e-07
P51648	ALDH3A2	1.83813530091334e-08	10885.5305989583	981.532501220703	3.46976278992234	2.74166941361581e-07
Q9Y608	LRRFIP2	1.82698519010689e-08	5815.51342773438	2391.71396891276	1.28125862316074	2.74166941361581e-07
Q7Z739	YTHDF3	1.89120060859447e-08	63116.2467447917	9130.66666666667	2.78906131403081	2.79479784777129e-07
Q9NX20	MRPL16	1.89134887400323e-08	9638.28873697917	875.459686279297	3.45901738166514	2.79479784777129e-07
Q5TCZ1	SH3PXD2A	1.93694942119985e-08	5822.74853515625	327.261118570964	4.14878453223991	2.84892977368145e-07
Q9NXC5	MIOS	1.9659368925287e-08	6991.68522135417	659.802673339844	3.40334880505078	2.87824032606622e-07
O75175	CNOT3	2.02486730603422e-08	8108.88981119792	629.870646158854	3.68408827829187	2.91435931871931e-07
Q8TF42	UBASH3B	2.02110168967294e-08	35140.4973958333	2175.86877441406	4.01280826510972	2.91435931871931e-07
Q99986	VRK1	2.01306610226167e-08	15584.9892578125	1571.36005655925	3.30915363560783	2.91435931871931e-07
Q9NYV6	RRN3	2.02730062775249e-08	5149.28051757813	122.228973388672	5.38495746098019	2.91435931871931e-07
