Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O75909	CCNK	9.17535306029247e-14	31797.2916666667	1338.94997151693	4.56865284701739	9.67388057656836e-11
P36873	PPP1CC	8.18795730495304e-14	15398.3868815104	771.668975830078	4.31678494133612	9.67388057656836e-11
Q15014	MORF4L2	7.41609625923702e-14	88898.02734375	5234.56551106771	4.08573412482431	9.67388057656836e-11
Q9UFW8	CGGBP1	2.6707098283123e-13	19421.5817057292	1048.60921223958	4.20973650700268	2.11186379673795e-10
P41214	EIF2D	5.7689031988206e-13	23231.1998697917	282.225128173828	6.35797059045122	2.60672011683851e-10
Q9NWK9	ZNHIT6	5.21917286794185e-13	6477.78572591146	131.298263549805	5.61363471594025	2.60672011683851e-10
Q9P1Y6	PHRF1	4.64698643416025e-13	5844.66007486979	161.351557413737	5.16992599077068	2.60672011683851e-10
P53621	COPA	1.09028711916366e-12	14878.0618489583	981.71875	3.92026420759649	4.25289779746742e-10
Q9UI10	EIF2B4	1.29970016072673e-12	8783.56722005209	74.1880696614583	6.86815939916117	4.25289779746742e-10
Q9Y5M8	SRPRB	1.34457723599982e-12	75056.7747395833	3983.02030436198	4.2356853924288	4.25289779746742e-10
Q8TEU8	WFIKKN2	3.21203709155032e-12	55346.078125	2514.1269938151	4.45977793835147	9.23606665506695e-10
Q96SN8	CDK5RAP2	3.73490407534323e-12	2996.96459960938	53.0699361165365	5.79253158061405	9.8445846585922e-10
P85037	FOXK1	4.31319973309932e-12	32781.9329427083	3679.7626953125	3.15482427855899	1.00051378917662e-09
Q9HC35	EML4	4.42845180160376e-12	8824.39754231771	159.507817586263	5.7807823152196	1.00051378917662e-09
O95793	STAU1	5.24502312724324e-12	14695.1840820313	1016.5068766276	3.8522329814791	1.0368755094669e-09
Q8IWS0	PHF6	4.9863178236182e-12	41930.1959635417	2953.3144938151	3.82709425501673	1.0368755094669e-09
Q9NQW6	ANLN	6.23510935487317e-12	36861.158203125	3550.12320963542	3.37575408012635	1.16009711114493e-09
Q14232	EIF2B1	7.90172209685521e-12	5961.27669270833	135.908050537109	5.44434214927202	1.32599019349724e-09
Q8N5A5	ZGPAT	7.96516398243677e-12	12763.8058268229	316.004938761393	5.33140943931629	1.32599019349724e-09
P26640	VARS1	8.4644009164469e-12	11795.2646484375	242.861999511719	5.5959990146312	1.33864500493608e-09
O43670	ZNF207	9.87808199977387e-12	126046.911458333	9379.76171875	3.74811188341263	1.35107938346687e-09
P09661	SNRPA1	1.08335219118752e-11	141411.2578125	8164.48356119792	4.11421484314145	1.35107938346687e-09
P29372	MPG	1.17342281394282e-11	40200.9029947917	4552.53653971354	3.14216854152558	1.35107938346687e-09
P48634	PRRC2A	1.02359438221513e-11	90207.0364583333	8403.21354166667	3.42405524817609	1.35107938346687e-09
P62280	RPS11	1.19602348204465e-11	277262.546875	24204.6712239583	3.517835741849	1.35107938346687e-09
Q15058	KIF14	9.13102521628621e-12	16508.2433268229	1059.29489135742	3.96064913756124	1.35107938346687e-09
Q8IX18	DHX40	1.1635458602812e-11	4729.97705078125	143.050310770671	5.03718850576813	1.35107938346687e-09
Q9P0V3	SH3BP4	1.1073748381001e-11	36927.302734375	4031.02201334635	3.19511246766528	1.35107938346687e-09
P23258	TUBG1	1.47962528878847e-11	25639.5504557292	1288.27087402344	4.31374365818061	1.46939684128259e-09
Q14684	RRP1B	1.35645665582241e-11	20634.5891927083	1255.79846191406	4.03723949121691	1.46939684128259e-09
Q9BU76	MMTAG2	1.44851766388148e-11	59366.1243489583	6129.990234375	3.27544791965513	1.46939684128259e-09
Q9UHB9	SRP68	1.48658548596405e-11	20518.6510416667	1867.94116210938	3.45664283084211	1.46939684128259e-09
A0FGR8	ESYT2	1.74343479186271e-11	19133.4749348958	1821.70123291016	3.39194890591785	1.51347651632449e-09
O60216	RAD21	1.7030385803557e-11	6201.59375	94.2516657511393	6.02475088915905	1.51347651632449e-09
O75330	HMMR	1.69376255325743e-11	10111.9573567708	1332.46183268229	2.92281384791572	1.51347651632449e-09
O75521	ECI2	1.81124009987416e-11	23591.7083333333	1179.23809814453	4.32113005185618	1.51347651632449e-09
Q96EV2	RBM33	1.69350904045428e-11	10743.4327799479	505.962781270345	4.40543139632588	1.51347651632449e-09
Q9NWU5	MRPL22	1.8182771931815e-11	31661.1640625	1797.11581420898	4.13815644795205	1.51347651632449e-09
O60841	EIF5B	2.03342947565398e-11	124657.63671875	6352.52705891927	4.29426975368796	1.56871644670574e-09
P51659	HSD17B4	2.02088674263763e-11	105395.927083333	4992.68819173177	4.39956956485517	1.56871644670574e-09
Q9ULX3	NOB1	1.93766534434522e-11	36568.8424479167	2985.53894042969	3.61406852244899	1.56871644670574e-09
Q86U38	NOP9	2.42502351930348e-11	16685.0069986979	829.453847249349	4.32850848929284	1.8262736646564e-09
P49454	CENPF	2.74612335482451e-11	4426.38142903646	221.636690775553	4.31336450091113	2.01999724914184e-09
Q9Y241	HIGD1A	2.8860468575563e-11	13519.7117513021	427.126289367676	4.98088415470003	2.07467413873877e-09
Q9BSJ2	TUBGCP2	2.96196038743052e-11	9736.0615234375	632.776662190755	3.94129184377828	2.08192904565394e-09
Q7RTV0	PHF5A	3.18011598092333e-11	22945.1341145833	1682.13047281901	3.76896931847137	2.18667540166533e-09
Q14004	CDK13	3.29565548337525e-11	6397.17317708333	392.88835144043	4.02157588129989	2.21790601998211e-09
P56192	MARS1	3.41027912618007e-11	53647.1139322917	2256.71154785156	4.5705674801736	2.24232099874199e-09
Q9NYZ3	GTSE1	3.47371890415294e-11	14384.4614257813	1041.12829589844	3.78690640244716	2.24232099874199e-09
Q9Y2W2	WBP11	3.72271385812141e-11	45887.8203125	2804.2861735026	4.03189142386468	2.3549887866476e-09
P27694	RPA1	3.92305214477288e-11	53503.8665364583	6752.86067708333	2.98585882984539	2.43306155566993e-09
O94851	MICAL2	4.21399808043452e-11	7777.36881510417	238.778938293457	5.01950530932468	2.56324537084892e-09
P18887	XRCC1	4.63310227732996e-11	17873.0514322917	1653.80212402344	3.43305534443277	2.76500047230088e-09
O14672	ADAM10	5.07613502598327e-11	15297.1240234375	1214.14348347982	3.6540618590411	2.86710983699734e-09
