ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0030424	GO:0030424	axon	66/219	393/7589	6.15489530929171e-34	2.17883293948926e-31	1.55492092024212e-31	GABBR1/EPB41L3/SNCG/FLRT3/SYT4/MAPT/ROBO2/CNTN2/GRM2/CTNNA2/SLC18A3/SCN3A/P2RX3/ALCAM/CYFIP1/ALDH1A1/NEFM/NRG1/MAP2/ELAVL4/UNC5C/PRPH/RUFY3/CD200/SYT1/STMN2/STX1B/CNTN1/ATL1/NEFL/TRPV2/ATAT1/SRCIN1/NFASC/NRP1/STX1A/MAST1/CBARP/L1CAM/SARM1/KIF5C/SIRT2/MYO5A/GDI1/SYNJ1/KCNQ2/CADM2/CNTNAP1/STXBP1/SLC1A2/TRAK1/ENO2/TANC2/ADGRL3/CPEB4/CPT1C/NEO1/ADCY9/LRRC4B/KIF21B/SYP/MAP1B/SPOCK1/EPHB2/TUBB4A/BRSK1	66	go_cc
GO:0097060	GO:0097060	synaptic membrane	30/219	170/7589	5.45324991054697e-16	9.65225234166813e-14	6.88831567648038e-14	PDE2A/GABBR1/FLRT3/PLPPR4/CNTN2/GRM2/P2RX3/NSG1/ANK2/NRXN1/SYT1/STX1B/CNTN1/IQSEC3/ABHD6/NRP1/STX1A/RIMS3/SYNJ1/CNTNAP1/STXBP1/SLC1A2/PTPRD/ENO2/EFNB2/RIMS2/LRRC4B/F2R/SYP/EPHB2	30	go_cc
GO:0036477	GO:0036477	somatodendritic compartment	46/219	433/7589	3.75979609537231e-15	4.43655939253933e-13	3.16614408031353e-13	DNER/GABBR1/SNCG/SYT4/MAPT/CNTN2/GRM2/P2RX3/NSG1/ALCAM/CYFIP1/MAP2/ELAVL4/UNC5C/NRXN1/PRPH/RUFY3/CD200/STMN2/GNAZ/DPYSL5/SRCIN1/MPP2/NFASC/CPEB3/MAST1/KCNB2/L1CAM/SARM1/KIF5C/SIRT2/CTNND2/SERPINI1/GDI1/PDE9A/TRAK1/ENO2/TANC2/CPEB4/CPT1C/ADCY9/KIF21B/MAP1B/EPHB2/TUBB4A/CKB	46	go_cc
GO:0098793	GO:0098793	presynapse	37/219	287/7589	6.33586085852233e-15	5.33606448104447e-13	3.8080745627436e-13	PDE2A/GABBR1/SNCG/FLRT3/SYT4/GRM2/NRXN2/SLC18A3/P2RX3/CYFIP1/MFF/NRXN1/SYT1/STX1B/CNTN1/NEFL/SEPTIN5/SRCIN1/STX1A/CBARP/RIMS3/PPFIA3/SYNJ1/DNAJC6/CNTNAP1/STXBP1/SLC1A2/STX12/RAB6B/PTPRD/EFNB2/CADPS/RIMS2/LRRC4B/SYP/EPHB2/BRSK1	37	go_cc
GO:0044297	GO:0044297	cell body	36/219	273/7589	7.53681423876337e-15	5.33606448104447e-13	3.8080745627436e-13	DNER/GABBR1/SNCG/SYT4/MAPT/CNTN2/P2RX3/ALCAM/CYFIP1/MAP2/ELAVL4/UNC5C/NRXN1/PRPH/RUFY3/CD200/STMN2/GNAZ/DPYSL5/TRPV2/SRCIN1/MAST1/KCNB2/L1CAM/KIF5C/SIRT2/CTNND2/SERPINI1/GDI1/PDE9A/SLC1A2/ENO2/MAP1B/EPHB2/TUBB4A/CKB	36	go_cc
GO:0043025	GO:0043025	neuronal cell body	33/219	243/7589	4.82002333431657e-14	2.84381376724678e-12	2.02948350918592e-12	DNER/GABBR1/SNCG/SYT4/MAPT/CNTN2/P2RX3/ALCAM/CYFIP1/MAP2/ELAVL4/UNC5C/NRXN1/PRPH/RUFY3/CD200/STMN2/DPYSL5/SRCIN1/MAST1/KCNB2/L1CAM/KIF5C/SIRT2/CTNND2/SERPINI1/GDI1/PDE9A/ENO2/MAP1B/EPHB2/TUBB4A/CKB	33	go_cc
GO:0031226	GO:0031226	intrinsic component of plasma membrane	42/219	400/7589	1.10599764928854e-13	5.59318811211631e-12	3.99157046359772e-12	GABBR1/FLRT3/PLPPR4/CNTN2/GRM2/ADGRL2/SCN3A/P2RX3/ALCAM/GPC2/NRG1/DPP6/NRXN1/PLXNA3/CD200/CNTN1/ABHD6/TRPV2/MDGA1/NFASC/NRP1/STX1A/KCNB2/ATP1B1/KCNQ2/CNTNAP1/SLC1A2/TM7SF2/PTPRD/PRMT8/ASIC1/ADGRL3/EFNB2/CPT1C/NEO1/ADCY9/LRRC4B/F2R/HCN4/KCNH2/EPHB2/SLC22A17	42	go_cc
GO:0044304	GO:0044304	main axon	14/219	35/7589	2.49289302621381e-13	1.10310516409961e-11	7.87229376699097e-12	GABBR1/EPB41L3/MAPT/ROBO2/CNTN2/MAP2/NFASC/SIRT2/KCNQ2/CNTNAP1/SLC1A2/MAP1B/SPOCK1/TUBB4A	14	go_cc
GO:0042734	GO:0042734	presynaptic membrane	19/219	79/7589	4.88086925381792e-13	1.91980857316838e-11	1.3700685624752e-11	PDE2A/GABBR1/GRM2/P2RX3/NRXN1/SYT1/STX1B/CNTN1/STX1A/RIMS3/CNTNAP1/STXBP1/SLC1A2/PTPRD/EFNB2/RIMS2/LRRC4B/SYP/EPHB2	19	go_cc
GO:0150034	GO:0150034	distal axon	26/219	167/7589	1.18621837537874e-12	4.19921304884076e-11	2.99676221148314e-11	SNCG/FLRT3/MAPT/SLC18A3/P2RX3/CYFIP1/MAP2/ELAVL4/UNC5C/RUFY3/STMN2/NEFL/TRPV2/CBARP/L1CAM/KIF5C/SIRT2/MYO5A/SYNJ1/ENO2/CPEB4/NEO1/KIF21B/SYP/MAP1B/BRSK1	26	go_cc
