ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0000785	GO:0000785	chromatin	231/1881	471/7409	2.33170253453671e-30	1.26145107118436e-27	1.04067565751954e-27	RING1/LDB1/MPHOSPH8/SUDS3/UHRF2/MAU2/HPF1/BRD3/MTA1/CHD8/XRCC1/ZNF618/EXOSC5/INO80E/TOX4/FIZ1/RB1/HDAC2/MEAF6/WDR61/RCC1/PPP1R10/DEK/CREB1/ACTR8/MTA2/H1-2/EXOSC4/EP400/ANKRD17/SMARCAD1/PRDM10/RFX3/NSD1/SET/STAG1/CBX3/SMC3/ACTR6/ADNP/SF3B1/ING3/TELO2/RNF2/SHPRH/TMPO/SUZ12/KDM1A/ALKBH1/ELK1/PBRM1/MBD3/DPF2/HMGA1/SETD5/BAZ1B/RSF1/SSRP1/MRGBP/BRD4/PDS5A/BAZ1A/SP2/RRP1B/ARID1A/CHD4/KDM4A/LRWD1/PAF1/SMARCE1/SIN3A/SUPT16H/NFRKB/TRIM24/NAP1L1/STAT3/NR2F6/RPA2/PPP4R2/CENPC/NIPBL/WAPL/AHCTF1/POU3F1/SMCR8/TTI2/SINHCAF/SMARCD1/TTI1/BRMS1L/RBPJ/EIF3E/CTR9/INO80/SMARCA5/CBX1/EXOSC10/CEBPE/ORC3/KDM3A/BPTF/HIRA/TBP/ZNF580/WDR43/MSH6/BRD9/SUPT6H/DNMT1/BCL7B/CREBBP/STAT1/NCAPD3/EPC2/BBX/HMGN5/PCNA/KDM3B/SMARCD2/SMARCA1/GATAD2A/KAT6A/TASOR/POU2F1/ASF1A/STAT2/SP4/VPS72/ACTL6A/MYBBP1A/CHD1/STAG2/NR2C1/ING2/EHMT2/ORC5/RCOR2/IPO4/H1-3/RAD21/ORC2/ETV3/TAF4/PBXIP1/POLA1/DDX21/ZC3H6/TCF12/CHAF1A/UXT/MORF4L1/NR6A1/KIF22/BAZ2A/MGA/EXOSC3/UHRF1/IRF3/ANP32E/SIRT1/KAT6B/RBBP4/SMC2/RIF1/HMGA2/BEND3/CBX2/CHD7/RBBP7/GABPA/TCF4/NOP53/OIP5/USF2/THAP11/NFKB2/CHMP2A/POLE3/SOX9/DNMT3A/BRD8/EBF2/FAM111B/SREBF1/TAF5/BRMS1/TP53/TEAD1/PLK1/PBX2/SIX4/SMARCC1/SALL1/DSCC1/MCM7/ZBTB33/CHAF1B/AEBP2/MTA3/ADNP2/ICE2/NASP/CDK4/HELLS/MCM2/ZNF174/PHF12/HAT1/NFYB/HDAC1/CDCA5/CECR2/KLF3/OBI1/NUFIP1/KLF16/ELF2/MEF2D/FOXJ3/SOX13/SALL4/ASF1B/ARNT/RAD51AP1/SOX12/ATF6/FANCE/CHRAC1/ATF6B/ESCO2/ZC3H8	231	go_cc
GO:0030684	GO:0030684	preribosome	57/1881	71/7409	2.93278388762379e-22	7.93318041602235e-20	6.54473878080257e-20	FBL/XRCC5/RRP1/FCF1/UTP11/RRP9/RSL1D1/LAS1L/SRFBP1/RRP1B/UTP23/BMS1/MPHOSPH10/EMG1/UTP18/MAK16/WDR74/RRS1/WDR12/PES1/NOP9/PDCD11/IMP3/NGDN/MRTO4/WDR46/NSA2/RIOK2/BOP1/HEATR1/NOL10/TBL3/BYSL/NOL6/IMP4/UTP20/NOC2L/RPF1/NOC4L/FTSJ3/NOP14/EBNA1BP2/TSR1/DCAF13/RRP7A/UTP4/WDR36/LTV1/MDN1/UTP6/UTP14A/NIP7/NOB1/ZNF622/RRP15/KRI1/WDR3	57	go_cc
GO:0000228	GO:0000228	nuclear chromosome	86/1881	134/7409	1.51264481254999e-21	2.72780281196514e-19	2.25039087902173e-19	SUDS3/INO80E/HDAC2/RCC1/ACTR8/SMCHD1/EP400/HUS1/SMARCAD1/SMC3/ACTR6/TOP1/ING3/PBRM1/BAZ1B/SMC1A/BRD4/UBE2I/BAZ1A/LRWD1/SMARCE1/SIN3A/EXOSC9/BRCA2/NFRKB/TRIM24/PINX1/RPA2/SMARCAL1/WAPL/SINHCAF/BRMS1L/INO80/SMARCA5/ORC3/ORC4/RRS1/WDHD1/GINS1/IK/PCNA/PRIM2/NOL6/ACTL6A/CHD1/STAG2/RPA1/ING2/ORC5/RPA3/RAD21/ORC2/POLA1/HSPA2/MORF4L1/NIFK/ANP32E/POLE/RBBP4/SMC2/HMGA2/TOPBP1/POLE3/BLM/POLD1/POLD2/BRD8/BRMS1/PLK1/MCM3/MCM7/NCAPD2/MMS22L/MCM4/ORC6/POLA2/MCM2/MCM5/PHF12/TOP2A/MCM6/HDAC1/NUFIP1/POLD3/CHRAC1/PRIM1	86	go_cc
GO:0098687	GO:0098687	chromosomal region	129/1881	249/7409	9.79398180750429e-20	1.32463603946496e-17	1.09280218062679e-17	UHRF2/ZW10/XRCC5/MAD1L1/XRCC1/ZNF618/PPP1R12A/TOX4/XRCC6/THOC5/HDAC2/MEAF6/PHF6/CTCF/PPP1R10/MTA2/SMCHD1/THOC2/RANGAP1/NUP160/STAG1/CBX3/SMC3/SEH1L/TELO2/RAD17/NUP133/NBN/KDM1A/NUP107/NUP43/SMC6/POLR2B/SMC1A/NHP2/TFIP11/PDS5A/TPR/KANSL1/CHD4/KDM4A/LRWD1/MRE11/SIN3A/KAT7/BRCA2/NUP98/PINX1/RPA2/NUP85/CENPC/FEN1/WAPL/CDC73/AHCTF1/NUP37/CBX1/SMC5/ERCC6L/ORC3/ORC4/KAT8/THOC3/DNMT1/SPDL1/WRAP53/NAT10/NGDN/NCAPD3/THOC1/PCNA/DSN1/THOC6/ATM/STAG2/PARP1/RPA1/ORC5/MSH2/RAD21/ORC2/ZBTB10/THOC7/KIF22/RBBP4/RIF1/RBBP7/CDK2/OIP5/CHMP2A/SMC4/BLM/POLD1/DNMT3A/RCC2/NSL1/ZWILCH/PLK1/MCM3/DSCC1/CDCA8/MCM7/AURKB/NCAPD2/MCM4/ZNF330/SPOUT1/HELLS/CENPU/MCM2/KIF2C/NSMCE2/MCM5/TOP2A/HAT1/NCAPG/MAD2L1/MCM6/SGO1/CDK1/CDCA5/CHEK2/SIRT6/TTK/SPC24/RAD51AP1/NDC80/XRCC3/ESCO2	129	go_cc
GO:0005667	GO:0005667	transcription regulator complex	114/1881	228/7409	4.5538354796862e-16	4.92724998902047e-14	4.06489735449884e-14	LDB1/ASCC1/MTA1/ERCC2/GTF2H4/MNAT1/RB1/XRCC6/HDAC2/HNRNPAB/ASCC2/CREB1/MTA2/ERCC3/GTF2B/TAF9/PRDM10/RFX3/GTF3C4/MED16/TAF12/CBX3/CDK7/ADNP/MED23/MED25/GEMIN5/MED24/MIDEAS/GTF3C5/KDM1A/TRIP4/MBD3/TCEA1/HMGA1/MED14/GTF3C3/HDAC3/MED27/CHD4/MED15/DDX20/SIN3A/GTF3C2/STAT3/POU3F1/RBPJ/GTF3C1/CEBPE/SKI/TBP/LMO4/LIMD1/NCOA6/MED1/CREBBP/STAT1/CTBP2/GTF2E2/AATF/TAF3/GATAD2A/POU2F1/STAT2/ATF7IP/RCOR1/PARP1/ING2/RCOR2/ETV3/HYAL2/TAF4/PBXIP1/TCF12/TAF5L/CEBPZ/NR6A1/TLE1/LIN37/TAF6/RBBP4/CCNH/RBBP7/CDK2/TCF4/MED4/SOX9/TBL1X/GPS2/EP300/TAF5/SRA1/RIOX2/TP53/TEAD1/LIN9/PBX2/SIX4/GTF2E1/MTA3/CDK4/MED18/RLIM/PHF12/TAF10/TAF2/NFYB/HDAC1/TAF8/BCL9L/ARNT/ATF6/ATF6B/ABT1	114	go_cc
GO:0000428	GO:0000428	DNA-directed RNA polymerase complex	51/1881	74/7409	3.44564255721263e-15	3.10682103908672e-13	2.5630744636108e-13	POLR3F/POLR3E/POLR1B/MYO6/ERCC2/GTF2H4/MNAT1/WDR61/ERCC3/GTF2B/TAF9/POLR2M/TAF12/CDK7/POLR3A/TCEA1/POLR2B/POLR1C/PAF1/POLR3C/POLRMT/CDC73/POLR2A/POLR2E/CTR9/LEO1/POLR2G/POLR1A/TBP/POLR3B/POLR2C/GTF2E2/TAF3/POLR2I/PRIM2/POLR3H/POLR3D/TAF4/POLA1/TAF5L/RPAP2/TAF6/CCNH/TAF5/MCM3/GTF2E1/POLA2/TAF10/TAF2/TAF8/PRIM1	51	go_cc
GO:0030686	GO:0030686	90S preribosome	24/1881	24/7409	4.60579928901571e-15	3.55962487908215e-13	2.93662992262055e-13	RSL1D1/SRFBP1/BMS1/MPHOSPH10/UTP18/WDR12/PES1/NOP9/IMP3/BOP1/HEATR1/TBL3/NOL6/IMP4/UTP20/NOC2L/NOC4L/NOP14/RRP7A/UTP4/WDR36/UTP6/KRI1/WDR3	24	go_cc
GO:0030880	GO:0030880	RNA polymerase complex	51/1881	75/7409	8.14144234285476e-15	5.50565038435553e-13	4.54206783338213e-13	POLR3F/POLR3E/POLR1B/MYO6/ERCC2/GTF2H4/MNAT1/WDR61/ERCC3/GTF2B/TAF9/POLR2M/TAF12/CDK7/POLR3A/TCEA1/POLR2B/POLR1C/PAF1/POLR3C/POLRMT/CDC73/POLR2A/POLR2E/CTR9/LEO1/POLR2G/POLR1A/TBP/POLR3B/POLR2C/GTF2E2/TAF3/POLR2I/PRIM2/POLR3H/POLR3D/TAF4/POLA1/TAF5L/RPAP2/TAF6/CCNH/TAF5/MCM3/GTF2E1/POLA2/TAF10/TAF2/TAF8/PRIM1	51	go_cc
GO:0055029	GO:0055029	nuclear DNA-directed RNA polymerase complex	50/1881	73/7409	9.54664034504402e-15	5.73859158518757e-13	4.73424035824405e-13	POLR3F/POLR3E/POLR1B/MYO6/ERCC2/GTF2H4/MNAT1/WDR61/ERCC3/GTF2B/TAF9/POLR2M/TAF12/CDK7/POLR3A/TCEA1/POLR2B/POLR1C/PAF1/POLR3C/CDC73/POLR2A/POLR2E/CTR9/LEO1/POLR2G/POLR1A/TBP/POLR3B/POLR2C/GTF2E2/TAF3/POLR2I/PRIM2/POLR3H/POLR3D/TAF4/POLA1/TAF5L/RPAP2/TAF6/CCNH/TAF5/MCM3/GTF2E1/POLA2/TAF10/TAF2/TAF8/PRIM1	50	go_cc
GO:0000781	GO:0000781	chromosome, telomeric region	64/1881	109/7409	1.1498601903371e-13	6.22074362972372e-12	5.13200758634665e-12	XRCC5/XRCC1/TOX4/XRCC6/THOC5/HDAC2/PPP1R10/MTA2/SMCHD1/THOC2/CBX3/TELO2/RAD17/NBN/KDM1A/SMC6/POLR2B/NHP2/TFIP11/CHD4/LRWD1/MRE11/BRCA2/PINX1/RPA2/FEN1/CDC73/CBX1/SMC5/ORC3/ORC4/THOC3/WRAP53/NAT10/THOC1/PCNA/THOC6/ATM/PARP1/RPA1/ORC5/MSH2/ORC2/ZBTB10/THOC7/RBBP4/RIF1/RBBP7/CDK2/BLM/POLD1/MCM3/MCM7/MCM4/MCM2/NSMCE2/MCM5/HAT1/MCM6/CDK1/CHEK2/SIRT6/RAD51AP1/XRCC3	64	go_cc
GO:0061695	GO:0061695	transferase complex, transferring phosphorus-containing groups	82/1881	167/7409	2.25976383173964e-11	1.11139293906468e-09	9.1688025326087e-10	PARD3/XRCC5/POLR3F/POLR3E/POLR1B/MYO6/ERCC2/GTF2H4/MNAT1/XRCC6/WDR61/ERCC3/GTF2B/CDK13/TAF9/POLR2M/TAF12/CDK7/LAS1L/POLR3A/TCEA1/POLR2B/POLR1C/PAF1/ATG14/CDK9/CCNK/POLR3C/POLRMT/CDC73/PIK3C2A/POLR2A/POLR2E/SMCR8/CTR9/LEO1/POLR2G/POLR1A/TBP/POLR3B/CCNT2/IKBKG/POLR2C/GTF2E2/TAF3/PCNA/POLR2I/PRIM2/POLR3H/POLR3D/CDK6/TAF4/POLA1/TAF5L/BCCIP/RPAP2/POLE/CCNL2/TAF6/CCNH/CDK2/POLE3/BECN1/POLD1/POLD2/TAF5/MCM3/GTF2E1/CDK4/CCNB2/POLA2/PHKB/TAF10/TAF2/CDK1/POLD3/TAF8/CCNA2/CCNJ/MAD2L2/CHRAC1/PRIM1	82	go_cc
GO:0090575	GO:0090575	RNA polymerase II transcription regulator complex	60/1881	111/7409	8.16096800412957e-11	3.67923640852841e-09	3.03530739802714e-09	LDB1/ERCC2/GTF2H4/MNAT1/RB1/HNRNPAB/ASCC2/CREB1/ERCC3/GTF2B/TAF9/MED16/TAF12/CBX3/CDK7/ADNP/MED23/MED25/GEMIN5/MED24/TRIP4/TCEA1/HMGA1/MED14/MED27/CHD4/MED15/STAT3/CEBPE/TBP/LMO4/MED1/STAT1/GTF2E2/TAF3/POU2F1/STAT2/ING2/HYAL2/TAF4/TCF12/TAF5L/CEBPZ/TLE1/TAF6/CCNH/TCF4/MED4/TAF5/TEAD1/GTF2E1/MED18/TAF10/TAF2/NFYB/TAF8/BCL9L/ARNT/ATF6/ATF6B	60	go_cc
