Sample	N
Day0_1	8746
Day0_2	8451
Day0_3	8571
Day0_4	8697
Day0_5	8592
Day0_6	8433
Day03_1	8334
Day03_2	8261
Day03_3	8193
Day03_4	7734
Day03_5	8259
Day03_6	8229
Day07_1	7660
Day07_2	7569
Day07_3	7939
Day07_4	8026
Day07_5	7935
Day07_6	7755
Day10_1	7835
Day10_2	7965
Day10_3	7663
Day10_4	7902
Day10_5	7629
Day10_6	7724
Day14_1	7813
Day14_2	7777
Day14_3	7827
Day14_4	7725
Day14_5	7756
Day14_6	7653
Day21_1	7810
Day21_2	7654
Day21_3	7815
Day21_4	7696
Day21_5	7765
Day21_6	7771
Day28_1	7686
Day28_2	7541
Day28_3	7305
Day28_4	7570
Day28_5	7500
Day28_6	7631
