Sample	N	Threshold
Day0_1	8746	0
Day0_2	8451	0
Day0_3	8571	0
Day0_4	8697	0
Day0_5	8592	0
Day0_6	8433	0
Day03_1	8334	0
Day03_2	8261	0
Day03_3	8193	0
Day03_4	7734	0
Day03_5	8259	0
Day03_6	8229	0
Day07_1	7660	0
Day07_2	7569	0
Day07_3	7939	0
Day07_4	8026	0
Day07_5	7935	0
Day07_6	7755	0
Day10_1	7835	0
Day10_2	7965	0
Day10_3	7663	0
Day10_4	7902	0
Day10_5	7629	0
Day10_6	7724	0
Day14_1	7813	0
Day14_2	7777	0
Day14_3	7827	0
Day14_4	7725	0
Day14_5	7756	0
Day14_6	7653	0
Day21_1	7810	0
Day21_2	7654	0
Day21_3	7815	0
Day21_4	7696	0
Day21_5	7765	0
Day21_6	7771	0
Day28_1	7686	0
Day28_2	7541	0
Day28_3	7305	0
Day28_4	7570	0
Day28_5	7500	0
Day28_6	7631	0
Day0_1	8717	1
Day0_2	8417	1
Day0_3	8548	1
Day0_4	8670	1
Day0_5	8567	1
Day0_6	8410	1
Day03_1	8324	1
Day03_2	8254	1
Day03_3	8182	1
Day03_4	7688	1
Day03_5	8248	1
Day03_6	8224	1
Day07_1	7594	1
Day07_2	7483	1
Day07_3	7931	1
Day07_4	8020	1
Day07_5	7911	1
Day07_6	7701	1
Day10_1	7830	1
Day10_2	7958	1
Day10_3	7620	1
Day10_4	7887	1
Day10_5	7605	1
Day10_6	7703	1
Day14_1	7786	1
Day14_2	7740	1
Day14_3	7798	1
Day14_4	7695	1
Day14_5	7739	1
Day14_6	7624	1
Day21_1	7785	1
Day21_2	7630	1
Day21_3	7791	1
Day21_4	7658	1
Day21_5	7738	1
Day21_6	7748	1
Day28_1	7614	1
Day28_2	7456	1
Day28_3	7189	1
Day28_4	7518	1
Day28_5	7453	1
Day28_6	7557	1
Day0_1	8707	2
Day0_2	8413	2
Day0_3	8544	2
Day0_4	8658	2
Day0_5	8558	2
Day0_6	8405	2
Day03_1	8316	2
Day03_2	8249	2
Day03_3	8176	2
Day03_4	7680	2
Day03_5	8240	2
Day03_6	8217	2
Day07_1	7575	2
Day07_2	7454	2
Day07_3	7927	2
Day07_4	8017	2
Day07_5	7900	2
Day07_6	7684	2
Day10_1	7827	2
Day10_2	7954	2
Day10_3	7611	2
Day10_4	7874	2
Day10_5	7590	2
Day10_6	7688	2
Day14_1	7770	2
Day14_2	7734	2
Day14_3	7787	2
Day14_4	7680	2
Day14_5	7727	2
Day14_6	7595	2
Day21_1	7765	2
Day21_2	7609	2
Day21_3	7783	2
Day21_4	7632	2
Day21_5	7724	2
Day21_6	7735	2
Day28_1	7603	2
Day28_2	7439	2
Day28_3	7161	2
Day28_4	7505	2
Day28_5	7445	2
Day28_6	7547	2
Day0_1	8370	3
Day0_2	7896	3
Day0_3	8068	3
Day0_4	8157	3
Day0_5	8057	3
Day0_6	7928	3
Day03_1	7896	3
Day03_2	7817	3
Day03_3	7726	3
Day03_4	7361	3
Day03_5	7797	3
Day03_6	7816	3
Day07_1	7303	3
Day07_2	7170	3
Day07_3	7604	3
Day07_4	7675	3
Day07_5	7583	3
Day07_6	7380	3
Day10_1	7544	3
Day10_2	7636	3
Day10_3	7332	3
Day10_4	7564	3
Day10_5	7344	3
Day10_6	7415	3
Day14_1	7508	3
Day14_2	7446	3
Day14_3	7534	3
Day14_4	7441	3
Day14_5	7460	3
Day14_6	7314	3
Day21_1	7528	3
Day21_2	7357	3
Day21_3	7522	3
Day21_4	7361	3
Day21_5	7482	3
Day21_6	7504	3
Day28_1	7384	3
Day28_2	7256	3
Day28_3	6985	3
Day28_4	7285	3
Day28_5	7259	3
Day28_6	7340	3
Day0_1	5311	4
Day0_2	4630	4
Day0_3	4748	4
Day0_4	4844	4
Day0_5	4765	4
Day0_6	4726	4
Day03_1	4814	4
Day03_2	4733	4
Day03_3	4651	4
Day03_4	4557	4
Day03_5	4851	4
Day03_6	4737	4
Day07_1	4516	4
Day07_2	4346	4
Day07_3	4629	4
Day07_4	4658	4
Day07_5	4540	4
Day07_6	4422	4
Day10_1	4587	4
Day10_2	4521	4
Day10_3	4396	4
Day10_4	4487	4
Day10_5	4386	4
Day10_6	4437	4
Day14_1	4529	4
Day14_2	4485	4
Day14_3	4523	4
Day14_4	4488	4
Day14_5	4458	4
Day14_6	4339	4
Day21_1	4606	4
Day21_2	4449	4
Day21_3	4604	4
Day21_4	4483	4
Day21_5	4603	4
Day21_6	4623	4
Day28_1	4794	4
Day28_2	4731	4
Day28_3	4678	4
Day28_4	4764	4
Day28_5	4720	4
Day28_6	4723	4
Day0_1	1158	5
Day0_2	1125	5
Day0_3	1144	5
Day0_4	1114	5
Day0_5	1131	5
Day0_6	1105	5
Day03_1	1055	5
Day03_2	1042	5
