SampleA	SampleB	Spearman
Day0_1	Day0_1	1
Day0_2	Day0_1	0.966
Day0_3	Day0_1	0.969
Day0_4	Day0_1	0.983
Day0_5	Day0_1	0.972
Day0_6	Day0_1	0.961
Day03_1	Day0_1	0.873
Day03_2	Day0_1	0.864
Day03_3	Day0_1	0.862
Day03_4	Day0_1	0.861
Day03_5	Day0_1	0.88
Day03_6	Day0_1	0.856
Day07_1	Day0_1	0.699
Day07_2	Day0_1	0.7
Day07_3	Day0_1	0.715
Day07_4	Day0_1	0.717
Day07_5	Day0_1	0.72
Day07_6	Day0_1	0.705
Day10_1	Day0_1	0.671
Day10_2	Day0_1	0.662
Day10_3	Day0_1	0.66
Day10_4	Day0_1	0.671
Day10_5	Day0_1	0.66
Day10_6	Day0_1	0.664
Day14_1	Day0_1	0.622
Day14_2	Day0_1	0.617
Day14_3	Day0_1	0.62
Day14_4	Day0_1	0.623
Day14_5	Day0_1	0.615
Day14_6	Day0_1	0.609
Day21_1	Day0_1	0.597
Day21_2	Day0_1	0.587
Day21_3	Day0_1	0.589
Day21_4	Day0_1	0.587
Day21_5	Day0_1	0.592
Day21_6	Day0_1	0.594
Day28_1	Day0_1	0.578
Day28_2	Day0_1	0.579
Day28_3	Day0_1	0.566
Day28_4	Day0_1	0.572
Day28_5	Day0_1	0.57
Day28_6	Day0_1	0.572
Day0_1	Day0_2	0.966
Day0_2	Day0_2	1
Day0_3	Day0_2	0.987
Day0_4	Day0_2	0.973
Day0_5	Day0_2	0.985
Day0_6	Day0_2	0.986
Day03_1	Day0_2	0.894
Day03_2	Day0_2	0.89
Day03_3	Day0_2	0.879
Day03_4	Day0_2	0.876
Day03_5	Day0_2	0.874
Day03_6	Day0_2	0.869
Day07_1	Day0_2	0.715
Day07_2	Day0_2	0.718
Day07_3	Day0_2	0.727
Day07_4	Day0_2	0.735
Day07_5	Day0_2	0.733
Day07_6	Day0_2	0.726
Day10_1	Day0_2	0.677
Day10_2	Day0_2	0.671
Day10_3	Day0_2	0.669
Day10_4	Day0_2	0.677
Day10_5	Day0_2	0.663
Day10_6	Day0_2	0.671
Day14_1	Day0_2	0.621
Day14_2	Day0_2	0.617
Day14_3	Day0_2	0.625
Day14_4	Day0_2	0.631
Day14_5	Day0_2	0.623
Day14_6	Day0_2	0.62
Day21_1	Day0_2	0.603
Day21_2	Day0_2	0.599
Day21_3	Day0_2	0.594
Day21_4	Day0_2	0.595
Day21_5	Day0_2	0.598
Day21_6	Day0_2	0.6
Day28_1	Day0_2	0.589
Day28_2	Day0_2	0.589
Day28_3	Day0_2	0.586
Day28_4	Day0_2	0.585
Day28_5	Day0_2	0.579
Day28_6	Day0_2	0.583
Day0_1	Day0_3	0.969
Day0_2	Day0_3	0.987
Day0_3	Day0_3	1
Day0_4	Day0_3	0.978
Day0_5	Day0_3	0.987
Day0_6	Day0_3	0.984
Day03_1	Day0_3	0.893
Day03_2	Day0_3	0.887
Day03_3	Day0_3	0.88
Day03_4	Day0_3	0.875
Day03_5	Day0_3	0.874
Day03_6	Day0_3	0.873
Day07_1	Day0_3	0.713
Day07_2	Day0_3	0.714
Day07_3	Day0_3	0.729
Day07_4	Day0_3	0.734
Day07_5	Day0_3	0.732
Day07_6	Day0_3	0.722
Day10_1	Day0_3	0.676
Day10_2	Day0_3	0.671
Day10_3	Day0_3	0.665
Day10_4	Day0_3	0.676
Day10_5	Day0_3	0.659
Day10_6	Day0_3	0.669
Day14_1	Day0_3	0.621
Day14_2	Day0_3	0.617
Day14_3	Day0_3	0.624
Day14_4	Day0_3	0.631
Day14_5	Day0_3	0.622
Day14_6	Day0_3	0.618
Day21_1	Day0_3	0.602
Day21_2	Day0_3	0.594
Day21_3	Day0_3	0.593
Day21_4	Day0_3	0.591
Day21_5	Day0_3	0.595
Day21_6	Day0_3	0.598
Day28_1	Day0_3	0.585
Day28_2	Day0_3	0.584
Day28_3	Day0_3	0.58
Day28_4	Day0_3	0.58
Day28_5	Day0_3	0.574
Day28_6	Day0_3	0.579
Day0_1	Day0_4	0.983
Day0_2	Day0_4	0.973
Day0_3	Day0_4	0.978
Day0_4	Day0_4	1
Day0_5	Day0_4	0.982
Day0_6	Day0_4	0.974
Day03_1	Day0_4	0.885
Day03_2	Day0_4	0.878
Day03_3	Day0_4	0.874
Day03_4	Day0_4	0.873
Day03_5	Day0_4	0.886
Day03_6	Day0_4	0.87
Day07_1	Day0_4	0.701
Day07_2	Day0_4	0.709
Day07_3	Day0_4	0.721
Day07_4	Day0_4	0.726
Day07_5	Day0_4	0.725
Day07_6	Day0_4	0.712
Day10_1	Day0_4	0.669
Day10_2	Day0_4	0.663
Day10_3	Day0_4	0.655
Day10_4	Day0_4	0.672
Day10_5	Day0_4	0.656
Day10_6	Day0_4	0.664
Day14_1	Day0_4	0.617
Day14_2	Day0_4	0.613
Day14_3	Day0_4	0.617
Day14_4	Day0_4	0.622
Day14_5	Day0_4	0.615
Day14_6	Day0_4	0.611
Day21_1	Day0_4	0.594
Day21_2	Day0_4	0.587
Day21_3	Day0_4	0.586
Day21_4	Day0_4	0.584
Day21_5	Day0_4	0.59
Day21_6	Day0_4	0.592
Day28_1	Day0_4	0.573
Day28_2	Day0_4	0.573
Day28_3	Day0_4	0.567
Day28_4	Day0_4	0.568
Day28_5	Day0_4	0.563
Day28_6	Day0_4	0.569
Day0_1	Day0_5	0.972
Day0_2	Day0_5	0.985
Day0_3	Day0_5	0.987
Day0_4	Day0_5	0.982
