Sample	UMAP1	UMAP2	condition
Day0_1	-0.680442034443001	4.37064293111652	Day0
Day0_2	-0.492346604799118	4.34364314991137	Day0
Day0_3	-0.63366254048413	4.17001634892829	Day0
Day0_4	-0.998816213182673	4.35338510420765	Day0
Day0_5	-0.911096322245714	3.97661239374835	Day0
Day0_6	-1.18710630241367	4.22783511334261	Day0
Day03_1	-1.81046258675093	4.0439606147111	Day03
Day03_2	-1.92167971815869	3.60564294040454	Day03
Day03_3	-2.25135391120732	3.84442173109716	Day03
Day03_4	-2.54233259084873	4.03158762940361	Day03
Day03_5	-2.34643755689729	3.95595915385092	Day03
Day03_6	-2.13654489931566	4.24325194295795	Day03
Day07_1	0.446501609364118	-4.27261220308152	Day07
Day07_2	0.54904458744025	-4.10491181665861	Day07
Day07_3	0.821797520256934	-3.53130514323515	Day07
Day07_4	0.972355075696121	-3.71345061516594	Day07
Day07_5	1.18599939638231	-3.97405696072277	Day07
Day07_6	0.797703171292532	-4.40298212907856	Day07
Day10_1	0.930946828120949	-2.5454335367337	Day10
Day10_2	1.24111497530107	-2.28525511832539	Day10
Day10_3	1.05702090561796	-3.00938359823094	Day10
Day10_4	1.45267604983191	-2.71971108352175	Day10
Day10_5	1.53986306100725	-2.15463451519349	Day10
Day10_6	1.4868356424807	-2.52663914466713	Day10
Day14_1	0.947447036642415	-1.59333039427445	Day14
Day14_2	0.507266087988668	-1.90610308489088	Day14
Day14_3	0.609611974150081	-1.77839427463634	Day14
Day14_4	0.626341154407027	-1.3840229660158	Day14
Day14_5	-0.00528269447175633	-1.59541243739961	Day14
Day14_6	0.213673537467272	-1.19168157927622	Day14
Day21_1	1.12527837629078	-1.21117172764421	Day21
Day21_2	-0.0831907686973807	-0.229005058808541	Day21
Day21_3	0.867928133813947	-0.812223657635002	Day21
Day21_4	0.162922173684049	-0.490721091605056	Day21
Day21_5	0.658016223426513	-0.546816547422416	Day21
Day21_6	-0.284553170569256	-1.15920082174846	Day21
Day28_1	0.0893782393168252	0.363572203119991	Day28
Day28_2	0.278227275898069	0.644130969637392	Day28
Day28_3	-0.0387638164704534	0.817468365493366	Day28
Day28_4	-0.274325695460222	0.895303308521054	Day28
Day28_5	-0.321867582046645	0.533501680607304	Day28
Day28_6	0.352315972584888	0.717523924912768	Day28
