Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
A0A0A0MTE8;A0A0A0MTL4;Q8IVL1	NAV2	7.32584250316755e-05	1978.2059325	7395.70633927778	-1.90269038030099	0.00794954953927805
A0A0D9SGE8;Q5JRC6	PHF6	7.15495943837837e-05	108165.169266667	81974.5010844444	0.39997128509307	0.00794954953927805
A0A1W2PRB8		6.24496572384753e-05	51238.771485	36061.9753694445	0.506717454656138	0.00794954953927805
A0A2U3TZR0;Q9UBP0	SPAST	6.70247973074134e-05	9817.82129066667	15427.1507713333	-0.65209033852596	0.00794954953927805
A0A3B3ITE8;Q9UKZ9	PCOLCE2	2.53507707492445e-05	10198.3190085	4649.82765647778	1.13277198730721	0.00794954953927805
A0A494C1E9;P19838	NFKB1	3.83138294457223e-05	34738.98828	19406.2435974444	0.83996051113119	0.00794954953927805
A3KN61;F8VS45;F8VWT8;H0YIV6;Q3SYD7;Q92994	BRF1	6.39748608527793e-05	22815.4306666667	13997.9781403389	0.704688365465488	0.00794954953927805
B4DKY1	CARS1	2.19734603102888e-05	96690.93879	162432.304252222	-0.74839486182826	0.00794954953927805
B4E2Q0;H0Y9V7;P98194	ATP2C1	5.16313394149718e-05	33109.2200533333	50322.6321627778	-0.604003028172623	0.00794954953927805
E9PG40;P05067	APP	2.59013570772217e-05	24664.99284	48184.0173622222	-0.966119756399572	0.00794954953927805
F8W7U8;P49959	MRE11	4.55291864241526e-05	127715.454433333	97137.0395	0.394824837052	0.00794954953927805
G3V158;Q9Y315	DERA	6.96722288971639e-05	104657.404943333	67995.7291661111	0.622137136377129	0.00794954953927805
G3V180;G3V1D3;Q9NY33	DPP3	4.84724440758038e-05	149831.140633333	187196.353311111	-0.321222535439208	0.00794954953927805
G3V2L4;H0YJC1;Q96NE9	FRMD6	3.22037184956816e-05	19160.711265	9594.71499366667	0.997688903075401	0.00794954953927805
G5E968;P10645	CHGA	3.88736247851066e-05	789.0454509	5527.34951468889	-2.8086685186141	0.00794954953927805
O15037	KHNYN	3.33480650549605e-05	19058.395185	12476.9901535	0.611041065911626	0.00794954953927805
O15294	OGT	3.88942318923703e-05	50602.671875	73407.3906266667	-0.536731410706048	0.00794954953927805
O15344	MID1	5.82035113868583e-05	7278.65747066667	17791.1928974444	-1.28950005576414	0.00794954953927805
O15460	P4HA2	2.15270470313951e-05	21733.9375	10544.6247152778	1.04330500688511	0.00794954953927805
O43157	PLXNB1	5.62401583691742e-05	10349.1207685	24050.8306217222	-1.21663849819243	0.00794954953927805
O60934	NBN	5.83255821736793e-05	17024.00114	13712.0048277778	0.312025419872121	0.00794954953927805
O75953	DNAJB5	5.59901480374711e-05	9578.26106733333	14717.8841691111	-0.619832641928654	0.00794954953927805
O94760	DDAH1	4.00878047087011e-05	15602.987305	30567.2720261111	-0.97021273141008	0.00794954953927805
O94776	MTA2	3.91768148537441e-05	296621.69275	217390.014783333	0.448331797805961	0.00794954953927805
O94964	SOGA1	5.86441411035282e-05	30204.7958983333	18639.8584258889	0.696309339201686	0.00794954953927805
P11926	ODC1	6.77114208957602e-05	14588.0001633333	6497.67788372222	1.16656397531822	0.00794954953927805
P30825	SLC7A1	4.73579994082121e-05	28444.9544283333	59035.4505222222	-1.05343321444416	0.00794954953927805
P49137	MAPKAPK2	7.39492980397958e-05	13543.9375	7536.69588888889	0.845451725658102	0.00794954953927805
P49441	INPP1	5.81916527058738e-05	11231.6066081667	5007.285427985	1.16517562004125	0.00794954953927805
P50440	GATM	5.12675201478306e-05	291020.08075	136710.680292778	1.08998219598564	0.00794954953927805
P53794	SLC5A3	5.49918763874428e-05	2814.38191733333	12499.2977168889	-2.15107243203796	0.00794954953927805
P54652	HSPA2	2.48924944104444e-05	465370.130233333	242899.410601111	0.938013685659678	0.00794954953927805
P58005	SESN3	2.91938945030282e-05	12570.575685	5550.82292735	1.17901726155122	0.00794954953927805
P78310	CXADR	6.09430576427227e-05	34116.7226566667	113751.553385556	-1.73734796032877	0.00794954953927805
P78417	GSTO1	6.16277422710114e-05	130421.28125	94329.56619	0.467382065689387	0.00794954953927805
P78540	ARG2	7.27541392993808e-05	20032.4817683333	32447.7822261111	-0.695823172490289	0.00794954953927805
Q00534	CDK6	2.9438428828913e-05	52086.7701816667	30453.9314783333	0.774241122168983	0.00794954953927805
Q01082	SPTBN1	4.83038906093533e-05	145620.279966667	279049.961394444	-0.938317328789086	0.00794954953927805
Q04724	TLE1	5.01532614335077e-05	5689.92000316667	9819.01228827778	-0.787316460603457	0.00794954953927805
Q07954	LRP1	7.25250992193144e-05	52097.0638016667	89430.7118011111	-0.779584426472218	0.00794954953927805
Q08043	ACTN3	3.64329422299635e-05	50690.1927083333	19497.2677948722	1.37836068642246	0.00794954953927805
Q13585	GPR50	2.86465549194709e-05	5002.91829433333	2021.41393878333	1.30669157906812	0.00794954953927805
Q14814	MEF2D	2.69161790914086e-05	13467.41439	5960.87015178333	1.1756360350417	0.00794954953927805
Q3LXA3	TKFC	6.65622002483417e-05	125762.302083333	93833.9861116667	0.42250169857374	0.00794954953927805
Q53EL6	PDCD4	1.99333753476013e-05	968045.260416667	418828.820744444	1.20871033545592	0.00794954953927805
Q58EX2	SDK2	3.5607998468052e-05	10432.8465181667	4751.11394621111	1.13449150467707	0.00794954953927805
Q5HY92	FIGN	4.61743352771938e-05	7281.951416	3936.36107038889	0.88709609641965	0.00794954953927805
Q5T0N5;S4R347	FNBP1L	5.05430249726864e-05	19839.9833983333	42811.0906033333	-1.10960746854182	0.00794954953927805
Q5T2T1	MPP7	6.0249107396896e-05	34103.4518233333	20060.3694122778	0.765497681471153	0.00794954953927805
Q6PL18	ATAD2	5.03213680384514e-05	4518223.25	2492850.09375	0.857958849068146	0.00794954953927805
