Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
F8VR14;H0YI72;Q7Z6G8	ANKS1B	4.02367276218856e-28	28897.3863933333	484.879675972222	5.89419611798795	3.2330210644185e-24
P08670	VIM	5.83066790802723e-27	10693338.3333333	880349.538194445	3.60249041460771	2.34247083204994e-23
P31323	PRKAR2B	2.16445138836055e-26	607352.572916667	39860.2237411111	3.92947634864819	5.79712230182567e-23
O43301	HSPA12A	4.4135756921021e-25	320495.6042	18726.9055389444	4.09704310157204	8.8657701715101e-22
A0A087WUH1;A0A0A0MS35;Q7Z4K8	TRIM46	9.25696705690929e-25	58459.58073	3851.03349822778	3.92374732784601	1.23966217170444e-21
P09104	ENO2	8.28216575842198e-25	4318297.70833333	183209.218757222	4.5588908290789	1.23966217170444e-21
Q12860	CNTN1	3.96850793311672e-24	821043.864583334	32827.2858348333	4.64444797552106	4.55528017751326e-21
Q8N9I0	SYT2	3.27959248328789e-23	404612.614616667	23804.5148111667	4.08717356588415	3.29394070040227e-20
Q6PCE3	PGM2L1	4.46900251016945e-23	332592.01045	52793.423395	2.65529605973559	3.98982612991239e-20
Q96GM1	PLPPR2	1.47779279897923e-22	40093.7539066667	1193.99529355556	5.06830065944688	1.18740651397981e-19
A0A1B0GTM3;A0A1B0GTZ5;A0A1B0GUA4;A0A1B0GUH5;A0A1B0GW68;E7EMM4;Q13510	ASAH1	1.83459432783766e-22	84745.670575	14706.5846898889	2.5265793231118	1.30395706411008e-19
Q6T4P5	PLPPR3	2.04559187411061e-22	156704.075533333	6830.41375745	4.5197147170577	1.30395706411008e-19
Q6VY07	PACS1	2.10970029040834e-22	64342.08789	7885.46383961111	3.0283122823055	1.30395706411008e-19
Q8IUD2;X6RLX0	ERC1	2.72789568403066e-22	73846.364585	12923.0936145556	2.51446379388202	1.56561727294188e-19
O00445	SYT5	3.2158532059433e-22	197286.351583333	10008.3291422778	4.30087396437358	1.72262536731696e-19
Q02156	PRKCE	5.47290580647492e-22	63487.966145	4193.14575197222	3.92003425858857	2.73398175541724e-19
Q9NS86	LANCL2	5.78440446074587e-22	385699.114616667	100205.750438333	1.94449613511212	2.73398175541724e-19
