Sample	N
H_1975_1_Intensity	3527
H_1975_2_Intensity	2117
H_1975_3_Intensity	3512
NCI_3784Mel_1_Intensity	426
NCI_3784Mel_2_Intensity	363
NCI_3784Mel_3_Intensity	65
NCI_3784Mel_4_Intensity	2086
NCI_3784Mel_5_Intensity	721
NCI_3795Mel_1_Intensity	135
NCI_3795Mel_2_Intensity	47
NCI_3795Mel_3_Intensity	1935
NCI_3795Mel_4_Intensity	14
NCI_3795Mel_5_Intensity	1351
NCI_RA007_1_Intensity	2819
NCI_RA007_2_Intensity	3116
NCI_RA007_3_Intensity	1066
NCI_RA007_4_Intensity	1430
NCI_RA007_5_Intensity	1164
PC9_epitope_1_Intensity	2816
PC9_epitope_2_Intensity	2402
PC9_epitope_4_Intensity	2391
PC9_epitope_5_Intensity	3488
