SampleA	SampleB	Spearman
H_1975_1	H_1975_1	1
H_1975_2	H_1975_1	0.129
H_1975_3	H_1975_1	0.518
PC9_epitope_1	H_1975_1	-0.33
PC9_epitope_2	H_1975_1	-0.296
PC9_epitope_4	H_1975_1	-0.324
PC9_epitope_5	H_1975_1	-0.396
PC9_epitope_6	H_1975_1	-0.203
H_1975_1	H_1975_2	0.129
H_1975_2	H_1975_2	1
H_1975_3	H_1975_2	0.375
PC9_epitope_1	H_1975_2	-0.301
PC9_epitope_2	H_1975_2	-0.275
PC9_epitope_4	H_1975_2	-0.273
PC9_epitope_5	H_1975_2	-0.326
PC9_epitope_6	H_1975_2	-0.202
H_1975_1	H_1975_3	0.518
H_1975_2	H_1975_3	0.375
H_1975_3	H_1975_3	1
PC9_epitope_1	H_1975_3	-0.324
PC9_epitope_2	H_1975_3	-0.291
PC9_epitope_4	H_1975_3	-0.327
PC9_epitope_5	H_1975_3	-0.394
PC9_epitope_6	H_1975_3	-0.208
H_1975_1	PC9_epitope_1	-0.33
H_1975_2	PC9_epitope_1	-0.301
H_1975_3	PC9_epitope_1	-0.324
PC9_epitope_1	PC9_epitope_1	1
PC9_epitope_2	PC9_epitope_1	0.598
PC9_epitope_4	PC9_epitope_1	0.574
PC9_epitope_5	PC9_epitope_1	0.69
PC9_epitope_6	PC9_epitope_1	0.529
H_1975_1	PC9_epitope_2	-0.296
H_1975_2	PC9_epitope_2	-0.275
H_1975_3	PC9_epitope_2	-0.291
PC9_epitope_1	PC9_epitope_2	0.598
PC9_epitope_2	PC9_epitope_2	1
PC9_epitope_4	PC9_epitope_2	0.703
PC9_epitope_5	PC9_epitope_2	0.562
PC9_epitope_6	PC9_epitope_2	0.602
H_1975_1	PC9_epitope_4	-0.324
H_1975_2	PC9_epitope_4	-0.273
H_1975_3	PC9_epitope_4	-0.327
PC9_epitope_1	PC9_epitope_4	0.574
PC9_epitope_2	PC9_epitope_4	0.703
PC9_epitope_4	PC9_epitope_4	1
PC9_epitope_5	PC9_epitope_4	0.578
PC9_epitope_6	PC9_epitope_4	0.599
H_1975_1	PC9_epitope_5	-0.396
H_1975_2	PC9_epitope_5	-0.326
H_1975_3	PC9_epitope_5	-0.394
PC9_epitope_1	PC9_epitope_5	0.69
PC9_epitope_2	PC9_epitope_5	0.562
PC9_epitope_4	PC9_epitope_5	0.578
PC9_epitope_5	PC9_epitope_5	1
PC9_epitope_6	PC9_epitope_5	0.497
H_1975_1	PC9_epitope_6	-0.203
H_1975_2	PC9_epitope_6	-0.202
H_1975_3	PC9_epitope_6	-0.208
PC9_epitope_1	PC9_epitope_6	0.529
PC9_epitope_2	PC9_epitope_6	0.602
PC9_epitope_4	PC9_epitope_6	0.599
PC9_epitope_5	PC9_epitope_6	0.497
PC9_epitope_6	PC9_epitope_6	1
