Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
A0A087WVC1	A0A087WVC1	A0A087WVC1_HUMAN	DDX50	ATP-dependent RNA helicase DDX50	421747	245939	332667	296382	338076	298004	256788	466124	311054	350010	270322	421286
A0A087WVZ6	A0A087WVZ6;H7C4X9	A0A087WVZ6_HUMAN	ZMYND8	Protein kinase C-binding protein 1	133617	92910.8	113613	106436	84400.9	82194.2	75348.2	119095	82739.2	66643.3	99606.5	110019
A0A087WWU8	A0A087WWU8;J3KN67	A0A087WWU8_HUMAN	TPM3	Tropomyosin alpha-3 chain	3.25642e+07	4.09993e+07	3.29229e+07	4.81622e+07	4.07442e+07	4.11833e+07	3.82193e+07	3.37901e+07	4.07524e+07	3.85406e+07	4.03535e+07	3.19026e+07
A0A087WWY3;Q60FE5	A0A087WWY3;Q60FE5	A0A087WWY3_HUMAN;Q60FE5_HUMAN	FLNA	Filamin-A	99073	88145.6	107148	90451.1	81288.6	86423.8	83085.4	85835.8	87980.9	78570.2	99743.8	92823.7
A0A087WXI3;A8MQB8;G3V0J0	G3V0J0;A0A087WXI3;A8MQB8	A0A087WXI3_HUMAN;A8MQB8_HUMAN;G3V0J0_HUMAN	FMR1	Synaptic functional regulator FMR1				85621.3	70640.3	88574.5	61286.4		60611.8	75223.1	64597	50271.6
A0A087WY03;E5RFV3	A0A087WY03;E5RFV3	A0A087WY03_HUMAN;E5RFV3_HUMAN	SREK1	Splicing regulatory glutamine/lysine-rich protein 1	167416	109520	421526	339250	311442	356398	347451	405030	335407	355467	363388	466694
A0A087WY61;H0YFY6;K4DIE0	K4DIE0;A0A087WY61;H0YFY6	A0A087WY61_HUMAN;H0YFY6_HUMAN;K4DIE0_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	71027.4	33271.1	58538.1	65036.9	28059.9	38615.2	32837.8	76913.1	32459.5		43017.2	58030.8
A0A087WYL5	A0A087WYL5	A0A087WYL5_HUMAN	SEZ6L2	Seizure 6-like protein 2				23826		33130.4	40283.1		16751.4	24756.7	29956.8	
A0A087X091	A0A087X091	A0A087X091_HUMAN	WDR13	WD repeat-containing protein 13 (Fragment)		20643.1	14713.7	17732.7		10668.2	8394.6	19732.1	16432.8		13611.8	
A0A087X0K9;G5E9E7	G5E9E7;A0A087X0K9	A0A087X0K9_HUMAN;G5E9E7_HUMAN	TJP1	Tight junction protein ZO-1	134011	83829.6	193208	140597	74709	130434		153413	91365.7	65604.1	73447.5	114412
