PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] 20210208_KLOF_DIA_FAIMS_35V_d0_1.raw.PG.Quantity,[2] 20210208_KLOF_DIA_FAIMS_35V_d0_2.raw.PG.Quantity,[3] 20210208_KLOF_DIA_FAIMS_35V_d0_3.raw.PG.Quantity,[4] 20210208_KLOF_DIA_FAIMS_35V_d0_4.raw.PG.Quantity,[5] 20210208_KLOF_DIA_FAIMS_35V_d0_5.raw.PG.Quantity,[6] 20210208_KLOF_DIA_FAIMS_35V_d0_6.raw.PG.Quantity,[7] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_1.raw.PG.Quantity,[8] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_2.raw.PG.Quantity,[9] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_3.raw.PG.Quantity,[10] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_4.raw.PG.Quantity,[11] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_5.raw.PG.Quantity,[12] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_6.raw.PG.Quantity
A0A024QZ33;K7ERM9;Q9H0G5,NSRP1,"Coiled-coil domain containing 55, isoform CRA_a;Nuclear speckle-splicing regulatory protein 1 (Fragment);Nuclear speckle splicing regulatory protein 1",6148.34375,4189.792969,3944.665527,4892.068848,4877.434082,4813.905273,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A024QZX5;A0A087X1N8;P35237,SERPINB6,Serpin B6,14756.05859,13321.29004,12744.24023,16934.08398,15643.67188,14688.5625,19017.31641,18158.73047,16486.13867,21356.23438,20414.21875,22699.57617
A0A024R0Y4;A0A087WWR4,TADA2A,Transcriptional adapter;Transcriptional adapter 2-alpha,20005.10352,10625.84766,7869.620605,11489.32715,30585.41016,3365.802246,31658.51953,Filtered,35337.91016,6251.584473,Filtered,39187.41406
A0A024R3B9;E9PJL7;E9PNH7;E9PRA8;P02511,CRYAB,Alpha-crystallin B chain;Alpha-crystallin B chain (Fragment);Alpha-crystallin B chain;Alpha-crystallin B chain;Alpha-crystallin B chain,920.1652832,Filtered,241.3136749,898.1339111,411.8034058,720.9051514,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A024R4E5,HDLBP,"High density lipoprotein binding protein (Vigilin), isoform CRA_a",309896.6875,334102.75,329189.1563,293375.25,292326.2188,301820.1563,94830.24219,102128.6328,104696.6328,84703.19531,109798.2031,94988.39844
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,TMEM120A,Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Transmembrane protein 120A,6275.29248,7188.495117,6435.112305,10338.60547,6058.189453,8388.392578,23508.48047,20257.96875,27847.14453,12276.8916,24613.83594,20883.91406
A0A024R571;Q9H4M9,EHD1,EH domain-containing protein 1,143373.6875,142734.1094,144615.5469,132458.3125,146626,138729.9688,513247.0625,509579.6875,518316.8438,525082.9375,577804.4375,541628.625
A0A024R644;A0A1B0GWI2;O75503,CLN5,Ceroid-lipofuscinosis neuronal protein 5;Ceroid-lipofuscinosis neuronal protein 5 (Fragment);Ceroid-lipofuscinosis neuronal protein 5,16697.23828,10993.21484,12863.17285,14589.94238,16023.20313,12165.7041,15717.77246,22323.05469,20538.42383,25048.56055,27917.71875,27065.93945
A0A024R7N8;P27539,CERS1;GDF1,Ceramide synthase 1;Embryonic growth/differentiation factor 1,1982.297607,584.447937,569.8619385,2448.513916,2120.381104,1145.197266,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A024RA52;P25787,PSMA2,Proteasome subunit alpha type;Proteasome subunit alpha type-2,91978.3125,145137.6719,138684.2969,90394.71094,126352.4141,130464.4297,131529.9063,139253.4063,110367.3359,135549.5625,123284.5781,129195.0391
A0A024RAC6;Q14241,ELOA,Elongin-A,38013.6875,37201.85547,35771.39063,36912.32813,33028.43359,37086.23438,8763.504883,12133.94238,14878.83398,9147.518555,7367.365723,9320.401367
A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLK6;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5,PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;PPT2;;PPT2;PPT2;PPT2;PPT2,"HCG1999928, isoform CRA_a;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Uncharacterized protein;Lysosomal thioesterase PPT2;Uncharacterized protein;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2 (Fragment);Lysosomal thioesterase PPT2",4343.963867,3991.054199,3814.953613,3734.985352,3759.571777,2874.860596,3320.864502,2521.461182,818.9637451,5867.512207,3918.805908,2356.391357
A0A024RCR6;A0A0G2JK23;P46379,BAG6,BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6,159655.9219,101239.7188,100432.7344,109885.9844,92959.30469,79422.08594,53113.73438,59166.55859,39231.28516,66406.96875,66377.375,56109.58594
